주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,458,506,579,856,"1,683"
영업이익,16,4,-33,64,363
영업이익(발표기준),16,4,-33,64,363
세전계속사업이익,15,9,-34,54,395
당기순이익,11,10,-22,41,301
  당기순이익(지배),11,10,-23,42,314
  당기순이익(비지배),,,0,-1,-14
자산총계,554,573,681,764,"6,456"
부채총계,70,95,202,245,"1,299"
자본총계,483,477,479,518,"5,157"
  자본총계(지배),483,477,440,472,"5,110"
  자본총계(비지배),,,38,47,47
자본금,53,53,53,53,79
영업활동현금흐름,29,5,2,91,239
투자활동현금흐름,363,-153,-109,-150,173
재무활동현금흐름,-8,-5,10,15,-324
CAPEX,11,48,53,48,109
FCF,17,-43,-51,43,130
이자발생부채,0,0,73,71,699
영업이익률,3.60,0.86,-5.62,7.52,21.59
순이익률,2.31,1.98,-3.86,4.79,17.86
ROE(%),2.19,2.09,,9.12,11.26
ROA(%),1.93,1.78,,5.67,8.33
부채비율,14.55,20.00,42.21,47.35,25.19
자본유보율,815.73,811.71,742.13,806.65,"7,360.93"
EPS(원),100,95,-216,394,"2,752"
PER(배),499.12,483.43,N/A,233.66,36.95
BPS(원),"4,579","4,522","4,174","4,469","34,029"
PBR(배),10.92,10.15,9.08,20.61,2.99
현금DPS(원),50,35,25,100,
현금배당수익률,0.10,0.08,0.07,0.11,
현금배당성향(%),49.91,36.86,-11.59,25.37,
발행주식수(보통주),"10,554,054","10,554,054","10,554,054","10,554,054","15,800,344"
