주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,261,310,315,258,230
영업이익,-54,-143,-164,-191,-208
영업이익(발표기준),-54,-143,-164,-191,-208
세전계속사업이익,-56,-143,-167,-192,-295
당기순이익,-57,-144,-169,-175,-279
  당기순이익(지배),-57,-144,-169,-175,-279
  당기순이익(비지배),,,,,
자산총계,368,670,850,"1,238","1,331"
부채총계,122,82,110,513,584
자본총계,246,588,740,725,747
  자본총계(지배),246,588,740,725,747
  자본총계(비지배),,,,,
자본금,34,39,41,41,44
영업활동현금흐름,-52,-135,-151,-140,-186
투자활동현금흐름,-5,-360,-181,-452,-97
재무활동현금흐름,31,472,309,588,293
CAPEX,26,36,28,28,58
FCF,-78,-171,-179,-169,-244
이자발생부채,56,39,31,431,520
영업이익률,-20.59,-46.17,-52.12,-74.01,-90.33
순이익률,-21.68,-46.47,-53.64,-67.81,-121.28
ROE(%),-22.00,,-25.41,-23.90,-37.87
ROA(%),-15.42,,-22.20,-16.77,-21.69
부채비율,49.84,13.99,14.79,70.80,78.25
자본유보율,572.56,"1,407.72","1,722.72","1,664.62","1,595.41"
EPS(원),-647,"-1,483","-1,643","-1,658","-2,532"
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"2,798","5,925","7,100","6,812","6,739"
PBR(배),17.61,15.43,9.16,14.30,8.15
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"8,778,709","9,926,053","10,093,693","10,591,924","10,699,992"
