주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,575,860,846,754,778
영업이익,27,-22,29,25,51
영업이익(발표기준),27,-22,29,25,51
세전계속사업이익,13,-54,9,11,49
당기순이익,7,-44,7,10,42
  당기순이익(지배),7,-44,7,10,42
  당기순이익(비지배),,,,,
자산총계,900,950,923,891,"1,139"
부채총계,345,380,348,259,325
자본총계,555,570,575,632,814
  자본총계(지배),555,570,575,632,814
  자본총계(비지배),,,,,
자본금,67,73,74,83,83
영업활동현금흐름,24,1,63,86,159
투자활동현금흐름,-24,-124,-61,-49,-292
재무활동현금흐름,-31,94,-12,-8,148
CAPEX,14,3,1,1,3
FCF,10,-2,62,85,156
이자발생부채,,43,61,9,33
영업이익률,4.69,-2.58,3.47,3.37,6.60
순이익률,1.26,-5.08,0.85,1.29,5.42
ROE(%),1.30,-7.77,1.26,1.61,5.84
ROA(%),0.89,-4.72,0.77,1.07,4.16
부채비율,62.12,66.63,60.59,40.90,39.90
자본유보율,842.89,792.74,785.35,761.85,884.94
EPS(원),61,-302,49,61,255
PER(배),69.15,N/A,66.16,46.45,44.63
BPS(원),"4,594","4,334","4,295","4,182","4,925"
PBR(배),0.92,0.65,0.76,0.68,2.31
현금DPS(원),50,0,0,40,60
현금배당수익률,1.18,0.00,0.00,1.41,0.53
현금배당성향(%),83.21,0.00,0.00,62.22,23.49
발행주식수(보통주),"13,497,842","13,497,842","14,254,958","16,526,307","16,526,307"
