주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,,12,20,24
영업이익,,,-17,-25,-43
영업이익(발표기준),,,-17,-25,-43
세전계속사업이익,,,-97,-89,-43
당기순이익,,,-97,-89,-43
  당기순이익(지배),,,-97,-89,-43
  당기순이익(비지배),,,,,
자산총계,,,76,70,186
부채총계,,,189,26,30
자본총계,,,-113,44,155
  자본총계(지배),,,-113,44,155
  자본총계(비지배),,,,,
자본금,,,5,36,43
영업활동현금흐름,,,-12,-16,-34
투자활동현금흐름,,,-6,-8,-9
재무활동현금흐름,,,68,-2,146
CAPEX,,,1,5,9
FCF,,,-14,-22,-43
이자발생부채,,,182,16,12
영업이익률,,,-140.78,-126.87,-181.57
순이익률,,,-799.68,-449.95,-182.46
ROE(%),,,,257.01,-43.45
ROA(%),,,,-122.29,-33.86
부채비율,,,-167.59,59.95,19.49
자본유보율,,,"-2,637.02",3.02,244.23
EPS(원),,,-928,-735,-264
PER(배),,,,,N/A
BPS(원),,,-936,292,889
PBR(배),,,0.00,0.00,37.57
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,,0.00
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"7,812,209","7,812,209","9,357,708","14,898,448","17,473,745"
