주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,108","1,865","1,384","1,532","1,949"
영업이익,17,0,1,8,-48
영업이익(발표기준),17,0,1,8,-48
세전계속사업이익,21,6,4,11,-58
당기순이익,16,5,3,3,-47
  당기순이익(지배),16,5,3,3,-47
  당기순이익(비지배),,,,,
자산총계,845,764,854,863,"1,031"
부채총계,420,336,427,436,574
자본총계,425,429,427,427,457
  자본총계(지배),425,429,427,427,457
  자본총계(비지배),,,,,
자본금,99,99,99,99,99
영업활동현금흐름,156,-36,-84,66,2
투자활동현금흐름,-46,-15,2,15,-4
재무활동현금흐름,-7,-8,0,-19,-9
CAPEX,1,3,0,0,0
FCF,155,-39,-85,65,1
이자발생부채,0,0,19,8,11
영업이익률,0.81,0.03,0.09,0.51,-2.46
순이익률,0.78,0.25,0.19,0.20,-2.40
ROE(%),3.87,1.11,0.63,0.71,-10.59
ROA(%),1.97,0.59,0.33,0.35,-4.94
부채비율,98.70,78.32,99.88,102.07,125.55
자본유보율,292.08,295.69,294.19,294.14,243.34
EPS(원),83,24,14,15,-236
PER(배),54.54,281.05,340.35,350.64,N/A
BPS(원),"2,146","2,164","2,157","2,157","2,308"
PBR(배),2.10,3.11,2.14,2.47,2.57
현금DPS(원),40,20,10,10,
현금배당수익률,0.89,0.30,0.22,0.19,
현금배당성향(%),48.37,83.51,73.82,65.78,
발행주식수(보통주),"19,805,760","19,805,760","19,805,760","19,805,760","19,805,760"
