주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,84,187,229,447,"8,242"
영업이익,6,129,133,366,"7,926"
영업이익(발표기준),6,129,133,366,"7,926"
세전계속사업이익,6,125,133,365,"7,926"
당기순이익,36,98,106,286,"6,194"
  당기순이익(지배),36,98,106,286,"6,194"
  당기순이익(비지배),,,,,
자산총계,608,716,831,"1,295","9,230"
부채총계,10,61,76,169,"1,951"
자본총계,598,654,755,"1,126","7,279"
  자본총계(지배),598,654,755,"1,126","7,279"
  자본총계(비지배),,,,,
자본금,420,420,420,420,420
영업활동현금흐름,159,-92,-9,-17,176
투자활동현금흐름,-25,-82,-2,-100,84
재무활동현금흐름,-38,35,-9,87,-131
CAPEX,1,,,0,3
FCF,,,,,
이자발생부채,0,0,0,0,0
영업이익률,7.04,68.65,57.96,81.93,96.17
순이익률,42.51,52.34,46.41,64.02,75.16
ROE(%),6.12,,15.11,30.42,147.40
ROA(%),5.89,,13.76,26.91,117.71
부채비율,1.64,9.40,10.09,15.02,26.80
자본유보율,51.61,64.96,89.01,175.22,"1,640.30"
EPS(원),43,117,127,341,"7,374"
PER(배),78.59,22.19,19.88,14.30,1.24
BPS(원),785,859,991,"1,445","9,347"
PBR(배),4.27,3.02,2.54,3.37,0.98
현금DPS(원),20,10,,,
현금배당수익률,0.60,0.39,,,
현금배당성향(%),42.48,7.77,0.00,0.00,
발행주식수(보통주),"84,000,000","84,000,000","84,000,000","84,000,000","84,000,000"
