주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,689","1,831","1,342","1,832","2,729","3,111","3,517"
영업이익,281,201,36,128,435,551,604
영업이익(발표기준),281,201,36,128,435,,
세전계속사업이익,241,249,62,162,536,546,598
당기순이익,204,203,65,98,453,455,487
  당기순이익(지배),205,224,84,105,433,464,481
  당기순이익(비지배),-1,-21,-19,-7,21,,
자산총계,"1,563","1,675","1,659","1,684","2,437",,
부채총계,589,470,407,344,570,,
자본총계,974,"1,205","1,252","1,341","1,866",,
  자본총계(지배),971,"1,170","1,231","1,325","1,797",,
  자본총계(비지배),3,,21,16,69,,
자본금,75,75,75,75,75,,
영업활동현금흐름,272,187,-144,149,592,,
투자활동현금흐름,-186,4,-85,54,-536,,
재무활동현금흐름,100,-14,-95,-21,38,,
CAPEX,163,180,35,17,16,,
FCF,109,7,-179,131,576,,
이자발생부채,130,139,72,61,55,,
영업이익률,16.63,10.97,2.72,6.99,15.94,17.71,17.17
순이익률,12.10,11.08,4.85,5.32,16.61,14.63,13.85
ROE(%),23.24,20.91,6.98,8.20,27.72,,
ROA(%),16.00,12.53,3.91,5.83,22.00,,
부채비율,60.47,39.03,32.50,25.63,30.56,,
자본유보율,"1,335.02","1,641.53","1,714.59","1,844.37","2,453.36",,
EPS(원),"1,374","1,498",560,701,"2,896","3,105","3,219"
PER(배),9.46,5.88,22.31,21.11,8.22,6.18,5.96
BPS(원),"6,910","8,460","8,893","9,597","12,989",,
PBR(배),1.88,1.04,1.41,1.54,1.83,,
현금DPS(원),120,100,50,50,150,,
현금배당수익률,0.92,1.14,0.40,0.34,0.63,,
현금배당성향(%),8.21,6.18,8.27,6.59,4.80,,
발행주식수(보통주),"14,942,112","14,942,112","14,942,112","14,942,112",,,
