주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,244,345,298,375,719,960,"1,041"
영업이익,2,19,10,11,12,39,57
영업이익(발표기준),2,19,10,11,12,,
세전계속사업이익,-2,19,10,10,-19,37,44
당기순이익,-10,11,10,1,-29,43,29
  당기순이익(지배),-10,11,10,5,-33,5,10
  당기순이익(비지배),,,,-4,4,,
자산총계,221,288,320,583,607,680,750
부채총계,63,121,144,205,240,290,332
자본총계,158,167,176,378,368,390,418
  자본총계(지배),158,167,176,372,358,393,401
  자본총계(비지배),,,,6,10,,
자본금,27,27,27,35,69,69,69
영업활동현금흐름,20,74,-4,53,28,97,76
투자활동현금흐름,13,-29,-32,-131,-99,-64,-56
재무활동현금흐름,,,-14,190,-17,12,12
CAPEX,0,2,1,7,7,20,20
FCF,20,72,-5,47,21,73,55
이자발생부채,0,0,52,56,45,,
영업이익률,0.87,5.60,3.22,3.04,1.64,4.10,5.48
순이익률,-4.01,3.20,3.31,0.26,-3.97,4.44,2.79
ROE(%),-5.93,6.78,5.75,1.89,-9.01,1.33,2.52
ROA(%),-4.49,4.32,3.24,0.21,-4.80,6.63,4.06
부채비율,40.21,72.38,81.67,54.23,65.13,74.36,79.43
자본유보율,485.12,520.39,553.80,980.70,392.95,,
EPS(원),-92,104,93,42,-238,36,72
PER(배),N/A,79.72,110.87,228.15,N/A,427.95,213.97
BPS(원),"1,486","1,574","1,658","2,698","2,593","2,847","2,905"
PBR(배),3.30,5.25,6.21,3.54,9.70,5.44,5.33
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"10,627,315","10,627,315","10,627,315","13,804,688","13,804,687",,
