주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"9,502","10,583","12,087","14,511","17,033","19,090"
영업이익,117,506,829,449,564,700
영업이익(발표기준),117,506,829,449,564,
세전계속사업이익,61,442,740,184,465,580
당기순이익,43,347,563,152,367,463
  당기순이익(지배),37,336,560,146,348,438
  당기순이익(비지배),6,11,3,6,19,
자산총계,"5,578","5,957","8,044","10,569","11,212","12,180"
부채총계,"3,918","3,948","5,423","7,569","7,694","8,304"
자본총계,"1,660","2,009","2,621","3,000","3,518","3,876"
  자본총계(지배),"1,466","1,796","2,480","2,839","3,134","3,475"
  자본총계(비지배),194,213,140,161,384,
자본금,131,131,140,145,148,150
영업활동현금흐름,-39,"1,438",349,148,476,595
투자활동현금흐름,-420,-747,-892,-682,-580,-762
재무활동현금흐름,409,-525,708,366,86,285
CAPEX,387,715,797,312,237,350
FCF,-426,723,-448,-164,239,245
이자발생부채,"3,158","2,793","3,962","6,623","6,515",
영업이익률,1.23,4.78,6.86,3.09,3.31,3.67
순이익률,0.45,3.28,4.66,1.04,2.15,2.43
ROE(%),3.48,20.58,26.20,5.48,11.65,13.26
ROA(%),0.86,6.01,8.04,1.63,3.37,3.96
부채비율,235.94,196.54,206.94,252.31,218.73,214.23
자본유보율,588.42,945.81,"1,508.59","1,639.83","1,810.55",
EPS(원),138,"1,254","2,001",509,"1,174","1,433"
PER(배),40.85,4.03,3.77,14.56,6.48,7.26
BPS(원),"5,690","6,970","8,680","9,953","10,950","11,625"
PBR(배),0.99,0.72,0.87,0.74,0.69,0.89
현금DPS(원),0,0,0,245,350,350
현금배당수익률,0.00,0.00,0.00,3.31,4.60,3.37
현금배당성향(%),0.00,0.00,0.00,47.97,28.79,24.69
발행주식수(보통주),"26,768,694","26,768,694","28,576,869","29,623,706","29,623,706",
