주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,878,"1,035","1,165","1,332","1,452"
영업이익,50,73,81,105,131
영업이익(발표기준),50,73,81,100,125
세전계속사업이익,47,61,76,104,127
당기순이익,36,47,66,103,99
  당기순이익(지배),36,47,66,103,99
  당기순이익(비지배),0,,,,
자산총계,272,330,487,703,814
부채총계,99,138,262,412,483
자본총계,173,192,225,292,331
  자본총계(지배),173,192,225,292,331
  자본총계(비지배),,,,,
자본금,72,72,72,72,72
영업활동현금흐름,36,83,74,35,109
투자활동현금흐름,-28,-7,-45,-39,-35
재무활동현금흐름,-24,-28,-38,-15,-56
CAPEX,10,7,14,16,19
FCF,26,76,60,18,90
이자발생부채,0,0,86,223,270
영업이익률,5.68,7.08,6.94,7.85,8.99
순이익률,4.08,4.52,5.68,7.73,6.78
ROE(%),21.02,25.64,,39.79,31.62
ROA(%),13.14,15.54,,17.29,12.98
부채비율,56.95,72.13,116.11,141.00,145.93
자본유보율,144.55,170.36,217.82,310.70,365.48
EPS(원),251,327,463,720,689
PER(배),12.11,11.60,10.67,8.29,12.35
BPS(원),"1,245","1,378","1,622","2,100","2,380"
PBR(배),2.44,2.75,3.05,2.84,3.58
현금DPS(원),200,220,250,275,300
현금배당수익률,6.59,5.80,5.06,4.61,3.53
현금배당성향(%),77.55,65.43,52.49,37.14,42.37
발행주식수(보통주),"14,300,000","14,300,000","14,300,000","14,300,000","14,300,000"
