주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,981,889,815,780,619
영업이익,-46,-80,-111,24,36
영업이익(발표기준),-46,-80,-111,24,36
세전계속사업이익,-172,-152,-291,68,47
당기순이익,-178,-143,-304,68,40
  당기순이익(지배),-179,-42,-166,29,40
  당기순이익(비지배),2,-101,-138,39,
자산총계,"1,473","1,330","1,007",974,661
부채총계,684,641,626,450,188
자본총계,789,688,381,524,473
  자본총계(지배),450,407,278,340,473
  자본총계(비지배),340,282,103,185,
자본금,450,484,484,488,529
영업활동현금흐름,-41,55,-24,59,74
투자활동현금흐름,-66,-93,-95,61,5
재무활동현금흐름,23,124,51,-22,-77
CAPEX,184,2,1,3,36
FCF,-225,53,-25,56,38
이자발생부채,384,407,405,274,46
영업이익률,-4.67,-9.04,-13.68,3.09,5.83
순이익률,-18.12,-16.13,-37.30,8.67,6.52
ROE(%),-33.42,-9.80,-48.60,9.31,9.44
ROA(%),-11.42,-10.23,-26.02,6.83,6.15
부채비율,86.62,93.17,164.44,85.74,39.82
자본유보율,15.52,8.20,-26.92,-24.79,1.55
EPS(원),-418,-88,-344,59,78
PER(배),N/A,N/A,N/A,13.99,13.19
BPS(원),"1,008",847,580,701,901
PBR(배),1.79,1.27,1.20,1.19,1.15
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"44,967,726","48,362,250","48,362,249","48,812,249","52,862,249"
