주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,194,204,224,206,222
영업이익,11,17,21,22,17
영업이익(발표기준),11,17,21,22,17
세전계속사업이익,12,11,21,24,22
당기순이익,11,9,19,20,20
  당기순이익(지배),11,9,19,20,20
  당기순이익(비지배),,,,,
자산총계,128,139,136,152,302
부채총계,46,50,28,24,33
자본총계,82,90,108,129,268
  자본총계(지배),82,90,108,129,268
  자본총계(비지배),,,,,
자본금,20,20,20,20,24
영업활동현금흐름,10,28,57,19,26
투자활동현금흐름,-14,-24,-2,-4,-179
재무활동현금흐름,0,-1,-26,0,130
CAPEX,6,9,3,3,10
FCF,4,19,54,16,16
이자발생부채,25,25,0,0,0
영업이익률,5.73,8.13,9.43,10.58,7.62
순이익률,5.43,4.34,8.51,9.55,8.90
ROE(%),,,19.25,16.60,9.93
ROA(%),,,13.82,13.62,8.69
부채비율,55.42,55.25,26.13,18.22,12.34
자본유보율,393.70,434.71,526.63,625.02,"1,032.47"
EPS(원),263,221,476,492,435
PER(배),,,,,30.90
BPS(원),"2,056","2,240","2,703","3,225","5,683"
PBR(배),0.00,0.00,0.00,0.00,2.37
현금DPS(원),20,20,0,0,80
현금배당수익률,,,,,0.59
현금배당성향(%),6.24,7.31,0.00,0.00,19.15
발행주식수(보통주),"4,000,000","4,000,000","4,000,000","4,000,000","4,724,230"
