주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"3,520","4,327","4,699","6,248","7,454","8,620","10,025","11,805"
영업이익,179,218,321,398,432,481,599,729
영업이익(발표기준),179,218,321,398,432,,,
세전계속사업이익,146,207,375,362,439,484,600,725
당기순이익,102,168,245,299,303,376,461,532
  당기순이익(지배),107,170,245,300,304,376,463,567
  당기순이익(비지배),-5,-3,-1,-1,-1,,,
자산총계,"2,213","2,797","3,119","3,747","4,108","4,503","4,958","5,402"
부채총계,"1,167","1,638","1,846","2,206","2,481","2,528","2,577","2,570"
자본총계,"1,046","1,159","1,274","1,541","1,628","1,975","2,381","2,832"
  자본총계(지배),"1,045","1,159","1,272","1,540","1,627","1,973","2,379","2,832"
  자본총계(비지배),2,,2,1,1,,,
자본금,98,110,115,115,180,192,192,190
영업활동현금흐름,184,280,732,593,683,494,584,719
투자활동현금흐름,-279,-28,-216,-98,-209,-76,-121,-130
재무활동현금흐름,134,-54,-135,-32,-269,2,-38,-50
CAPEX,326,55,78,31,21,84,112,157
FCF,-141,225,654,562,662,427,479,649
이자발생부채,150,151,151,150,100,,,
영업이익률,5.09,5.03,6.83,6.37,5.79,5.58,5.97,6.18
순이익률,2.90,3.88,5.21,4.78,4.07,4.36,4.60,4.51
ROE(%),10.78,15.47,20.20,21.35,19.22,20.86,21.26,21.74
ROA(%),5.01,6.70,8.27,8.71,7.72,8.74,9.75,10.27
부채비율,111.56,141.33,144.91,143.13,152.38,128.00,108.24,90.77
자본유보율,"1,037.82","1,093.50","1,222.10","1,436.93","1,049.26",,,
EPS(원),273,429,611,747,758,935,"1,152","1,411"
PER(배),33.72,15.56,20.83,56.04,40.06,18.13,14.71,12.01
BPS(원),"2,695","2,947","3,271","3,943","4,205","5,101","6,152","7,323"
PBR(배),3.42,2.27,3.89,10.62,7.22,3.32,2.76,2.31
현금DPS(원),0,82,132,0,0,93,99,125
현금배당수익률,0.00,1.23,1.03,0.00,0.00,0.55,0.58,0.74
현금배당성향(%),0.00,18.55,20.31,0.00,,9.95,8.59,8.86
발행주식수(보통주),"39,353,257","40,160,611","40,160,611","40,160,611","40,160,611",,,
