주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,402,641,"1,283","1,430","1,044"
영업이익,53,122,237,236,148
영업이익(발표기준),53,122,237,236,148
세전계속사업이익,59,136,250,248,159
당기순이익,49,109,197,196,135
  당기순이익(지배),49,109,197,196,135
  당기순이익(비지배),,,,,0
자산총계,577,714,944,"1,071","1,179"
부채총계,46,84,132,112,105
자본총계,531,630,812,958,"1,074"
  자본총계(지배),531,630,812,958,"1,073"
  자본총계(비지배),,,,,2
자본금,26,26,26,26,27
영업활동현금흐름,58,130,214,150,106
투자활동현금흐름,-84,-72,-140,-154,-146
재무활동현금흐름,-14,-9,-15,-49,-21
CAPEX,49,4,75,5,182
FCF,9,127,139,144,-77
이자발생부채,0,0,1,0,0
영업이익률,13.27,19.11,18.46,16.52,14.15
순이익률,12.29,16.95,15.39,13.73,12.97
ROE(%),9.56,18.71,27.38,22.19,
ROA(%),8.80,16.83,23.81,19.50,
부채비율,8.66,13.37,16.27,11.71,9.73
자본유보율,"2,044.43","2,427.64","3,136.38","3,821.60","4,067.82"
EPS(원),916,"2,015","3,661","3,643","2,511"
PER(배),34.51,20.40,14.25,12.34,14.22
BPS(원),"10,007","11,862","15,294","18,258","20,444"
PBR(배),3.16,3.47,3.41,2.46,1.75
현금DPS(원),191,286,381,381,400
현금배당수익률,0.60,0.70,0.73,0.85,1.12
현금배당성향(%),20.48,13.97,10.25,10.18,15.50
발행주식수(보통주),"5,392,115","5,392,115","5,392,115","5,392,115","5,392,115"
