주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,76,64,61,38,63
영업이익,-55,-59,-45,-35,-38
영업이익(발표기준),-55,-59,-45,-35,-38
세전계속사업이익,-95,-86,-57,-81,-153
당기순이익,-97,-87,-58,-82,-153
  당기순이익(지배),-97,-87,-58,-82,-155
  당기순이익(비지배),,,,,2
자산총계,503,199,149,210,641
부채총계,288,18,25,139,153
자본총계,215,181,124,71,487
  자본총계(지배),215,181,124,71,487
  자본총계(비지배),,,,,
자본금,74,80,80,86,182
영업활동현금흐름,-53,-89,-16,-20,-48
투자활동현금흐름,51,391,-14,-43,-150
재무활동현금흐름,-52,-204,-8,93,389
CAPEX,2,8,9,33,51
FCF,-55,-97,-25,-54,-98
이자발생부채,253,0,6,116,110
영업이익률,-72.65,-92.56,-74.16,-91.98,-60.61
순이익률,-128.62,-136.31,-94.55,-216.98,-243.20
ROE(%),-35.84,-43.86,,-84.16,-55.52
ROA(%),-16.55,-24.75,,-45.60,-36.00
부채비율,133.84,9.90,20.60,195.98,31.50
자본유보율,287.30,215.02,143.19,66.67,214.51
EPS(원),-572,-481,-313,-435,-619
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,263",986,674,320,"1,339"
PBR(배),3.06,3.13,3.85,7.05,2.75
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"17,033,918","18,366,395","18,366,395","19,627,156","36,378,495"
