주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)"
매출액,886,679,532,470,695,794
영업이익,147,-22,-55,-41,82,107
영업이익(발표기준),147,-22,-55,-41,82,
세전계속사업이익,107,-81,-195,-31,1,112
당기순이익,82,-64,-152,-66,24,91
  당기순이익(지배),82,-64,-152,-66,24,91
  당기순이익(비지배),,,,,,
자산총계,"1,597","1,481","1,300","1,223","1,260","1,362"
부채총계,128,106,77,67,80,91
자본총계,"1,469","1,375","1,222","1,156","1,180","1,271"
  자본총계(지배),"1,469","1,375","1,222","1,156","1,180","1,271"
  자본총계(비지배),,,,,,
자본금,100,100,100,100,100,100
영업활동현금흐름,228,62,-118,53,8,108
투자활동현금흐름,-18,-41,-235,44,-157,-68
재무활동현금흐름,-300,-30,0,0,0,0
CAPEX,9,23,6,16,8,
FCF,218,39,-124,37,0,98
이자발생부채,0,0,1,1,0,
영업이익률,16.61,-3.25,-10.33,-8.63,11.77,13.48
순이익률,9.31,-9.38,-28.68,-14.06,3.43,11.46
ROE(%),5.67,-4.48,-11.74,-5.55,2.04,7.42
ROA(%),4.73,-4.14,-10.97,-5.24,1.92,6.94
부채비율,8.71,7.71,6.30,5.77,6.78,7.16
자본유보율,"1,368.44","1,274.69","1,122.21","1,056.17","1,080.02",
EPS(원),412,-319,-762,-330,119,455
PER(배),12.07,N/A,N/A,N/A,35.48,9.69
BPS(원),"7,345","6,876","6,112","5,782","5,901","6,355"
PBR(배),0.68,0.73,0.51,0.55,0.72,0.69
현금DPS(원),150,,,,,0
현금배당수익률,3.02,,,,,0.00
현금배당성향(%),36.39,0.00,0.00,0.00,,
발행주식수(보통주),"20,000,000","20,000,000","20,000,000","20,000,000","20,000,000",
