주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,870","2,749","3,182","2,975","3,423"
영업이익,66,63,61,53,69
영업이익(발표기준),66,63,61,53,69
세전계속사업이익,57,71,63,39,84
당기순이익,43,54,46,30,61
  당기순이익(지배),43,54,46,30,61
  당기순이익(비지배),,,,,
자산총계,"1,481","1,417","1,419","1,387","1,620"
부채총계,670,572,547,507,693
자본총계,811,845,872,880,927
  자본총계(지배),811,845,872,880,927
  자본총계(비지배),,,,,
자본금,25,25,25,25,25
영업활동현금흐름,-8,228,109,84,39
투자활동현금흐름,-53,-87,-31,-68,2
재무활동현금흐름,93,-125,-84,-6,-45
CAPEX,50,76,9,62,4
FCF,-57,152,100,22,35
이자발생부채,351,245,180,198,180
영업이익률,2.29,2.28,1.91,1.77,2.02
순이익률,1.48,1.96,1.46,1.00,1.79
ROE(%),5.38,6.49,5.40,3.40,6.78
ROA(%),3.05,3.71,3.27,2.12,4.08
부채비율,82.70,67.72,62.79,57.63,74.77
자본유보율,"3,145.90","3,283.96","3,390.74","3,422.96","3,593.73"
EPS(원),170,215,186,119,245
PER(배),11.70,9.28,9.62,15.83,19.37
BPS(원),"3,242","3,380","3,487","3,520","3,708"
PBR(배),0.61,0.59,0.51,0.54,1.28
현금DPS(원),70,70,90,100,100
현금배당수익률,3.51,3.51,5.04,5.31,2.11
현금배당성향(%),41.13,32.55,48.51,83.98,40.78
발행주식수(보통주),"25,000,000","25,000,000","25,000,000","25,000,000","25,000,000"
