주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,321,296,157,50,223
영업이익,-62,-67,-79,-77,21
영업이익(발표기준),-62,-67,-79,-77,21
세전계속사업이익,-70,-127,-96,-210,-70
당기순이익,-79,-133,-99,-209,-72
  당기순이익(지배),-79,-125,-100,-208,-72
  당기순이익(비지배),,-8,1,-1,0
자산총계,297,381,472,759,"1,060"
부채총계,157,224,238,400,642
자본총계,140,158,233,358,418
  자본총계(지배),140,143,220,323,403
  자본총계(비지배),,,13,36,16
자본금,82,92,117,153,173
영업활동현금흐름,-86,-19,-75,-82,41
투자활동현금흐름,2,-65,-159,-313,-75
재무활동현금흐름,136,35,233,440,34
CAPEX,8,5,167,89,15
FCF,-94,-24,-243,-171,26
이자발생부채,141,197,214,378,413
영업이익률,-19.37,-22.45,-50.41,-155.15,9.28
순이익률,-24.46,-44.98,-62.88,-419.48,-32.21
ROE(%),-61.44,,-55.07,-76.61,-19.84
ROA(%),-29.10,,-23.14,-33.94,-7.88
부채비율,112.18,142.05,102.16,111.72,153.51
자본유보율,71.01,58.60,90.75,123.34,133.27
EPS(원),-101,-140,-106,-155,-45
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),168,155,188,211,233
PBR(배),8.74,6.20,5.52,4.94,4.20
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"40,721,211","51,110,211","113,286,783","153,287,035","172,786,805"
