주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,,923,814,673,747,856,979,"1,118"
영업이익,,146,90,75,-43,69,96,119
영업이익(발표기준),,146,90,75,-43,,,
세전계속사업이익,,146,88,65,-71,65,92,113
당기순이익,,112,69,48,-67,49,69,85
  당기순이익(지배),,112,69,48,-67,49,69,85
  당기순이익(비지배),,,,,,,,
자산총계,,793,890,"1,037","1,161","1,225","1,311","1,415"
부채총계,,165,123,222,461,500,517,536
자본총계,,628,767,815,700,725,794,879
  자본총계(지배),,628,767,815,700,725,794,879
  자본총계(비지배),,,,,,,,
자본금,,30,33,33,33,33,33,33
영업활동현금흐름,,107,21,2,5,-32,30,37
투자활동현금흐름,,-9,-69,-42,-185,-21,-22,-24
재무활동현금흐름,,,60,91,163,0,0,0
CAPEX,,7,3,6,4,5,6,7
FCF,,100,18,-5,1,-50,12,17
이자발생부채,,0,11,120,247,,,
영업이익률,,15.78,11.09,11.20,-5.81,8.06,9.81,10.64
순이익률,,12.14,8.44,7.13,-9.01,5.72,7.05,7.60
ROE(%),,,9.85,6.06,-8.89,6.88,9.09,10.16
ROA(%),,,8.16,4.98,-6.13,4.11,5.44,6.24
부채비율,,26.25,16.08,27.26,65.86,68.97,65.11,60.98
자본유보율,,"1,993.21","2,225.20","2,370.60","2,101.94",,,
EPS(원),,"1,869","1,082",727,"-1,020",743,"1,046","1,289"
PER(배),,,8.68,14.92,N/A,12.41,8.81,7.16
BPS(원),,"10,464","11,624","12,351","10,882","11,290","12,364","13,688"
PBR(배),,0.00,0.81,0.88,0.98,0.82,0.75,0.67
현금DPS(원),0,0,,,,0,0,0
현금배당수익률,,,,,,0.00,0.00,0.00
현금배당성향(%),,0.00,0.00,0.00,,,,
발행주식수(보통주),"3,840,000","6,000,000","6,596,700","6,596,700","6,596,700",,,
