주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,2,3,11,25,37
영업이익,-54,-82,-151,-162,-254
영업이익(발표기준),-54,-82,-151,-162,-254
세전계속사업이익,-52,-77,-142,-205,-311
당기순이익,-52,-77,-144,-194,-303
  당기순이익(지배),-52,-77,-144,-194,-297
  당기순이익(비지배),,,,,-6
자산총계,216,556,452,786,867
부채총계,30,7,34,332,673
자본총계,187,549,418,454,194
  자본총계(지배),187,549,418,453,185
  자본총계(비지배),,,0,1,9
자본금,26,33,33,68,69
영업활동현금흐름,-48,-84,-107,-38,-191
투자활동현금흐름,-58,-317,126,-314,155
재무활동현금흐름,107,423,2,417,266
CAPEX,13,5,10,7,260
FCF,-61,-89,-117,-45,-451
이자발생부채,14,0,2,178,486
영업이익률,"-2,217.53","-2,726.47","-1,337.38",-656.41,-691.92
순이익률,"-2,116.66","-2,563.58","-1,269.79",-783.45,-824.03
ROE(%),-33.07,,-29.67,-44.52,-93.14
ROA(%),-28.07,,-28.46,-31.32,-36.65
부채비율,15.87,1.27,8.13,73.27,346.59
자본유보율,601.75,"1,565.82","1,125.28",542.75,125.60
EPS(원),-555,-667,"-1,102","-1,474","-2,171"
PER(배),,N/A,N/A,N/A,N/A
BPS(원),"1,794","4,223","3,200","3,344","1,352"
PBR(배),0.00,8.11,6.63,15.04,30.33
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"10,411,088","13,007,842","13,060,242","13,542,060","13,703,160"
