주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,137,171,197,189,206
영업이익,15,27,41,24,11
영업이익(발표기준),15,27,41,24,11
세전계속사업이익,19,20,8,20,5
당기순이익,5,15,6,18,-2
  당기순이익(지배),5,15,5,18,-1
  당기순이익(비지배),,,2,0,0
자산총계,108,118,211,211,334
부채총계,55,50,115,50,173
자본총계,52,67,96,161,161
  자본총계(지배),52,67,95,161,161
  자본총계(비지배),,,2,0,0
자본금,12,12,22,25,25
영업활동현금흐름,26,14,61,11,14
투자활동현금흐름,1,-10,2,-3,-118
재무활동현금흐름,-11,-12,-22,-18,97
CAPEX,2,1,1,4,6
FCF,25,14,60,7,8
이자발생부채,22,13,65,2,64
영업이익률,10.74,15.87,20.74,12.66,5.51
순이익률,3.73,8.93,3.18,9.66,-0.85
ROE(%),10.29,25.49,,14.19,-0.84
ROA(%),4.34,13.52,,8.66,-0.64
부채비율,106.29,74.82,119.85,30.95,107.53
자본유보율,348.57,467.69,415.32,633.99,628.55
EPS(원),23,70,20,74,-5
PER(배),,,85.78,47.66,N/A
BPS(원),240,299,415,670,671
PBR(배),,,4.10,5.23,4.51
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"15,723,557","18,691,654","21,659,750","24,991,284","24,991,284"
