주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,24,80,106,120,124
영업이익,-42,-46,-31,-26,-27
영업이익(발표기준),-42,-46,-31,-26,-27
세전계속사업이익,-42,-54,-56,-35,-38
당기순이익,-42,-54,-55,-34,-37
  당기순이익(지배),-42,-54,-55,-34,-37
  당기순이익(비지배),,,,,0
자산총계,151,316,265,349,319
부채총계,91,237,242,206,144
자본총계,60,78,24,143,175
  자본총계(지배),60,78,24,143,168
  자본총계(비지배),,,,,6
자본금,32,36,36,52,62
영업활동현금흐름,-38,-38,-11,-27,-23
투자활동현금흐름,-30,7,0,8,-19
재무활동현금흐름,66,45,-3,110,9
CAPEX,7,24,10,11,13
FCF,-45,-62,-21,-38,-36
이자발생부채,71,153,157,130,79
영업이익률,-175.98,-57.25,-29.52,-22.06,-21.68
순이익률,-174.31,-66.88,-51.99,-28.00,-30.05
ROE(%),-57.90,,-108.38,-40.26,-23.92
ROA(%),-30.71,,-18.98,-10.92,-11.17
부채비율,152.32,303.77,"1,024.08",144.12,82.47
자본유보율,82.79,115.36,-37.08,168.28,169.46
EPS(원),-128,-152,-145,-74,-67
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),177,206,62,274,272
PBR(배),19.35,16.69,17.72,5.29,4.55
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"33,715,127","38,036,631","38,036,631","47,210,219","61,854,061"
