주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,261,329,286,391,499
영업이익,17,23,15,14,-29
영업이익(발표기준),17,23,15,14,-29
세전계속사업이익,3,12,9,-59,-51
당기순이익,2,19,10,-48,-45
  당기순이익(지배),2,19,10,-48,-45
  당기순이익(비지배),,,,,
자산총계,479,435,513,617,738
부채총계,337,275,342,333,387
자본총계,141,160,170,284,351
  자본총계(지배),141,160,170,284,351
  자본총계(비지배),,,,,
자본금,18,18,18,37,40
영업활동현금흐름,-29,25,49,25,-76
투자활동현금흐름,-4,-5,0,-44,-5
재무활동현금흐름,15,-30,-29,8,69
CAPEX,3,1,1,9,15
FCF,-32,24,48,16,-90
이자발생부채,230,202,180,202,224
영업이익률,6.64,7.12,5.21,3.65,-5.81
순이익률,0.83,5.75,3.32,-12.26,-8.94
ROE(%),,,5.75,-21.10,-14.05
ROA(%),,,2.01,-8.49,-6.58
부채비율,239.09,171.27,200.67,117.33,110.32
자본유보율,558.30,662.03,713.63,645.00,758.61
EPS(원),6,54,27,-132,-115
PER(배),,,,N/A,N/A
BPS(원),399,454,482,807,925
PBR(배),,,,3.58,4.39
현금DPS(원),0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"33,933,252","33,933,252","33,933,252","37,207,622","39,922,508"
