주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,31,14,39,39,32
영업이익,-28,-30,-20,-19,-30
영업이익(발표기준),-28,-30,-20,-19,-30
세전계속사업이익,-30,-34,-15,-34,-21
당기순이익,-30,-34,-15,-34,-21
  당기순이익(지배),-30,-34,-15,-34,-21
  당기순이익(비지배),,,,,
자산총계,41,71,64,187,248
부채총계,38,32,35,74,140
자본총계,2,39,29,113,108
  자본총계(지배),2,39,29,113,108
  자본총계(비지배),,,,,
자본금,20,24,24,30,32
영업활동현금흐름,-4,-22,-13,-23,-24
투자활동현금흐름,-2,2,-8,-58,-19
재무활동현금흐름,12,62,9,129,106
CAPEX,0,0,7,58,18
FCF,-4,-22,-20,-81,-42
이자발생부채,31,22,27,51,134
영업이익률,-87.97,-218.42,-49.58,-48.34,-94.26
순이익률,-96.97,-245.50,-37.03,-88.40,-65.59
ROE(%),-242.10,-164.16,-42.96,-48.21,-19.10
ROA(%),-61.51,-60.81,-21.62,-27.23,-9.69
부채비율,"1,664.39",82.06,121.19,65.70,129.88
자본유보율,-34.88,107.82,58.82,303.41,269.19
EPS(원),-712,-740,-284,-649,-340
PER(배),,N/A,N/A,N/A,N/A
BPS(원),52,759,555,"1,867","1,702"
PBR(배),0.00,11.16,10.99,5.86,3.17
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,383,247","5,150,343","5,218,348","6,042,033","6,341,369"
