주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,221,369,881,"1,389","2,143","4,754","7,713","9,697"
영업이익,8,26,127,125,-260,390,689,962
영업이익(발표기준),8,26,127,125,-260,,,
세전계속사업이익,4,-20,-20,12,-248,343,621,876
당기순이익,4,-20,-20,5,-195,274,509,718
  당기순이익(지배),4,-20,-20,5,-195,274,509,718
  당기순이익(비지배),,,,,,,,
자산총계,313,574,"1,312","1,990","4,074","5,357","7,002","8,326"
부채총계,106,625,"1,019",793,"1,908","2,917","4,052","4,658"
자본총계,207,-50,293,"1,197","2,166","2,440","2,950","3,668"
  자본총계(지배),207,-50,293,"1,197","2,166","2,440","2,950","3,668"
  자본총계(비지배),,,,,,,,
자본금,27,10,27,59,76,76,76,76
영업활동현금흐름,10,-43,-122,84,"-1,124",149,309,620
투자활동현금흐름,-52,-108,-197,-448,-584,"-1,354","-1,103","-1,064"
재무활동현금흐름,68,172,562,391,"2,178",593,665,423
CAPEX,62,110,199,293,534,"1,000",700,800
FCF,-52,-153,-321,-209,"-1,658",-822,-348,-112
이자발생부채,63,442,800,348,"1,040",,,
영업이익률,3.50,7.08,14.39,9.02,-12.12,8.20,8.93,9.92
순이익률,1.72,-5.36,-2.22,0.36,-9.08,5.76,6.60,7.40
ROE(%),2.09,,-16.11,0.67,-11.58,11.90,18.89,21.70
ROA(%),1.38,,-2.07,0.30,-6.42,5.81,8.24,9.37
부채비율,51.40,"-1,237.32",347.87,66.24,88.09,119.55,137.36,126.99
자본유보율,670.21,-557.07,"1,012.72","1,956.12","2,747.29",,,
EPS(원),79,-314,-294,52,"-1,469","1,706","3,101","4,374"
PER(배),,,,,N/A,47.88,26.35,18.68
BPS(원),"3,851",-761,"4,352","9,337","14,254","14,865","17,972","22,346"
PBR(배),0.00,0.00,0.00,0.00,6.99,5.50,4.55,3.66
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,,,,,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"2,050,000","2,050,000","5,349,460","11,852,799","15,195,692",,,
