주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,276,171,190,179,213
영업이익,-53,-74,-64,-37,6
영업이익(발표기준),-53,-74,-64,-37,6
세전계속사업이익,-56,-70,-77,-44,9
당기순이익,-52,-74,-82,-44,9
  당기순이익(지배),-51,-74,-80,-44,9
  당기순이익(비지배),-1,0,-2,,
자산총계,305,214,147,100,116
부채총계,38,22,29,25,30
자본총계,267,193,117,75,86
  자본총계(지배),266,194,117,75,86
  자본총계(비지배),1,,,,
자본금,38,38,38,38,77
영업활동현금흐름,-13,-24,-5,-40,10
투자활동현금흐름,-3,-27,13,52,-8
재무활동현금흐름,,,-1,-1,-1
CAPEX,0,0,0,0,0
FCF,-13,-24,-5,-40,10
이자발생부채,0,0,1,2,1
영업이익률,-19.10,-43.40,-34.03,-20.67,2.63
순이익률,-18.77,-43.37,-43.09,-24.43,4.14
ROE(%),-17.52,-32.09,-51.59,-45.38,10.99
ROA(%),-15.30,-28.51,-45.24,-35.37,8.18
부채비율,14.20,11.21,25.09,33.38,35.08
자본유보율,612.33,422.90,223.72,109.96,16.57
EPS(원),-333,-481,-523,-285,58
PER(배),N/A,N/A,N/A,N/A,44.02
BPS(원),"1,748","1,271",770,490,560
PBR(배),1.35,1.35,1.81,2.62,4.52
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"15,328,276","15,328,276","15,328,276","15,328,276","15,328,276"
