주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,501,694,816,896,913,"1,076","1,141"
영업이익,120,83,98,144,23,123,138
영업이익(발표기준),120,83,98,144,23,,
세전계속사업이익,114,78,71,108,-72,103,108
당기순이익,92,67,66,97,-59,90,92
  당기순이익(지배),92,67,66,97,-59,90,92
  당기순이익(비지배),,,,,,,
자산총계,499,863,985,"1,201","1,597","1,368","1,547"
부채총계,270,586,647,797,418,"1,046","1,200"
자본총계,229,278,337,404,"1,179",322,347
  자본총계(지배),229,278,337,404,"1,179",322,347
  자본총계(비지배),,,,,,,
자본금,5,5,5,5,10,10,10
영업활동현금흐름,92,31,149,189,38,91,122
투자활동현금흐름,-235,-312,-122,-97,-436,-48,-25
재무활동현금흐름,115,265,2,77,325,65,65
CAPEX,211,34,148,275,98,46,23
FCF,-120,-3,1,-86,-60,45,99
이자발생부채,192,510,556,696,311,,
영업이익률,24.00,12.02,11.95,16.03,2.47,11.43,12.10
순이익률,18.38,9.70,8.13,10.87,-6.47,8.41,8.06
ROE(%),47.71,,,26.28,-7.47,12.06,27.50
ROA(%),23.11,,,8.91,-4.22,6.10,6.31
부채비율,117.94,211.06,191.86,197.19,35.47,324.84,345.82
자본유보율,"4,483.20","5,452.54","6,479.92","8,133.51","11,711.76",,
EPS(원),"1,228",898,885,"1,299",-653,904,919
PER(배),,,,,N/A,23.62,23.24
BPS(원),"3,055","3,701","4,500","5,389","11,794","3,221","3,471"
PBR(배),0.00,0.00,0.00,0.00,1.56,6.63,6.15
현금DPS(원),267,200,240,261,,261,261
현금배당수익률,,,,,,1.22,1.22
현금배당성향(%),21.72,22.26,27.12,20.11,,28.88,28.41
발행주식수(보통주),"7,500,000","7,500,000","7,500,000","7,500,000","10,013,941",,
