주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,454,572,814,721,975
영업이익,13,11,63,46,-19
영업이익(발표기준),13,11,63,46,-19
세전계속사업이익,11,15,29,116,83
당기순이익,0,13,33,95,83
  당기순이익(지배),0,13,15,81,71
  당기순이익(비지배),,,18,14,12
자산총계,380,590,816,734,"2,143"
부채총계,157,244,373,230,712
자본총계,223,346,443,504,"1,431"
  자본총계(지배),223,346,362,504,836
  자본총계(비지배),,,80,0,595
자본금,18,22,22,26,33
영업활동현금흐름,-5,-40,55,7,-13
투자활동현금흐름,9,-115,-84,-89,46
재무활동현금흐름,16,193,21,42,328
CAPEX,18,37,31,54,35
FCF,-23,-77,24,-47,-47
이자발생부채,57,112,182,108,426
영업이익률,2.94,1.86,7.80,6.35,-1.93
순이익률,-0.08,2.30,4.07,13.24,8.48
ROE(%),-0.18,4.62,,18.70,10.61
ROA(%),-0.10,2.71,,12.31,5.75
부채비율,70.09,70.41,84.29,45.57,49.75
자본유보율,"1,129.44","1,446.69","1,517.15","1,829.19","2,399.38"
EPS(원),-2,63,69,341,224
PER(배),N/A,37.85,41.23,14.53,18.98
BPS(원),"1,229","1,547","1,619","1,920","2,497"
PBR(배),1.33,1.55,1.74,2.58,1.70
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"18,165,000","22,382,985","22,382,985","26,267,552","33,481,747"
