주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,692","2,280","2,376","2,249","3,221"
영업이익,91,90,79,86,331
영업이익(발표기준),91,90,79,86,331
세전계속사업이익,80,98,86,102,337
당기순이익,63,72,65,77,254
  당기순이익(지배),63,72,65,77,254
  당기순이익(비지배),,,,,
자산총계,"1,564","1,671","1,712","1,845","2,121"
부채총계,161,222,221,301,361
자본총계,"1,403","1,449","1,491","1,544","1,761"
  자본총계(지배),"1,403","1,449","1,491","1,544","1,761"
  자본총계(비지배),,,,,
자본금,86,86,86,86,86
영업활동현금흐름,-52,77,73,96,-60
투자활동현금흐름,-2,10,-1,-32,10
재무활동현금흐름,-23,-23,-24,-24,-39
CAPEX,6,12,1,1,11
FCF,-59,65,72,95,-71
이자발생부채,0,0,1,1,1
영업이익률,5.39,3.96,3.35,3.84,10.29
순이익률,3.71,3.17,2.76,3.44,7.88
ROE(%),4.54,5.07,4.45,5.09,15.37
ROA(%),4.06,4.47,3.87,4.34,12.80
부채비율,11.50,15.34,14.80,19.51,20.49
자본유보율,"1,550.02","1,604.08","1,653.93","1,715.69","1,968.89"
EPS(원),400,461,417,492,"1,617"
PER(배),10.56,10.01,9.50,8.44,3.51
BPS(원),"9,084","9,381","9,657","9,999","11,401"
PBR(배),0.47,0.49,0.41,0.42,0.50
현금DPS(원),150,150,150,150,300
현금배당수익률,3.55,3.25,3.79,3.61,5.29
현금배당성향(%),36.89,32.03,35.38,29.98,18.24
발행주식수(보통주),"15,702,890","15,702,890","15,702,890","15,702,890","15,702,890"
