주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,234,279,368,508,813,"1,074","1,406","1,717"
영업이익,-22,4,27,114,236,336,465,578
영업이익(발표기준),-22,4,27,114,236,,,
세전계속사업이익,-34,1,12,86,131,332,464,574
당기순이익,-34,1,11,75,135,271,373,459
  당기순이익(지배),-34,1,11,75,136,271,374,459
  당기순이익(비지배),,,,,-1,,,
자산총계,280,288,278,392,741,894,"1,194","1,430"
부채총계,189,153,369,222,264,285,324,355
자본총계,91,135,-90,170,477,761,"1,159","1,628"
  자본총계(지배),91,135,-90,170,471,762,"1,162","1,617"
  자본총계(비지배),,,,,6,,,
자본금,6,27,20,30,71,71,71,71
영업활동현금흐름,-3,-9,11,161,203,284,390,471
투자활동현금흐름,-21,-27,-11,-34,57,-45,-60,-29
재무활동현금흐름,67,-3,37,-7,-93,35,2,-24
CAPEX,15,14,6,24,24,42,56,25
FCF,-18,-23,5,137,179,237,329,439
이자발생부채,112,109,228,126,124,,,
영업이익률,-9.56,1.36,7.46,22.54,29.04,31.33,33.10,33.68
순이익률,-14.54,0.41,2.99,14.86,16.60,25.24,26.52,26.75
ROE(%),-31.46,1.00,,190.55,42.44,43.98,38.88,33.05
ROA(%),-13.10,0.40,,22.52,23.83,33.17,35.70,35.00
부채비율,207.14,113.66,-407.54,130.95,55.41,37.42,28.00,21.81
자본유보율,"1,503.36",403.00,-547.98,447.27,472.86,,,
EPS(원),-86,2,22,128,192,380,525,644
PER(배),,,,,40.48,22.39,16.22,13.21
BPS(원),231,276,-183,240,662,"1,070","1,633","2,272"
PBR(배),,,,,11.74,7.95,5.21,3.75
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"38,238,792","47,522,193","47,522,193","70,634,472","71,299,472",,,
