주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,2,0,,1,1
영업이익,-38,-69,-101,-255,-382
영업이익(발표기준),-38,-69,-101,-255,-382
세전계속사업이익,-65,-70,-102,-307,-440
당기순이익,-65,-70,-102,-307,-440
  당기순이익(지배),-65,-70,-102,-307,-440
  당기순이익(비지배),,,,,
자산총계,75,698,"1,613","1,336",685
부채총계,52,44,936,878,176
자본총계,23,654,678,457,509
  자본총계(지배),23,654,678,457,509
  자본총계(비지배),,,,,
자본금,27,34,35,71,128
영업활동현금흐름,-25,-59,-72,-208,-396
투자활동현금흐름,-18,-334,-742,142,675
재무활동현금흐름,61,677,971,-9,-283
CAPEX,0,8,13,42,12
FCF,-26,-67,-85,-250,-408
이자발생부채,31,8,555,568,86
영업이익률,"-1,837.58","-350,051.85",,"-42,641.13","-56,460.31"
순이익률,"-3,106.30","-353,205.54",,"-51,285.28","-65,043.78"
ROE(%),,,-15.25,-54.06,-91.14
ROA(%),,,-8.79,-20.81,-43.58
부채비율,230.01,6.65,138.03,192.14,34.60
자본유보율,-37.11,"1,797.84","1,860.98",549.46,295.20
EPS(원),-456,-415,-521,"-1,551","-2,004"
PER(배),,N/A,N/A,N/A,N/A
BPS(원),151,"3,363","3,465","2,269","1,983"
PBR(배),0.00,8.51,3.99,6.56,3.88
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"15,032,340","19,455,227","19,562,218","20,146,655","25,678,786"
