주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"7,970","6,970","6,610","6,426","7,626"
영업이익,426,305,263,281,301
영업이익(발표기준),426,305,263,281,301
세전계속사업이익,450,365,497,223,508
당기순이익,340,281,404,181,327
  당기순이익(지배),340,281,391,181,327
  당기순이익(비지배),,0,13,,
자산총계,"4,238","4,553","4,830","5,089","5,512"
부채총계,"1,713","1,792","1,716","1,766","1,794"
자본총계,"2,524","2,761","3,114","3,323","3,718"
  자본총계(지배),"2,524","2,752","3,114","3,323","3,718"
  자본총계(비지배),,,,,
자본금,100,100,100,100,100
영업활동현금흐름,590,660,353,285,480
투자활동현금흐름,-123,-449,"-1,144",-528,763
재무활동현금흐름,-35,-73,-3,-88,-39
CAPEX,124,115,190,493,214
FCF,466,544,163,-207,266
이자발생부채,247,241,247,244,229
영업이익률,5.34,4.37,3.98,4.37,3.95
순이익률,4.26,4.03,6.11,2.81,4.29
ROE(%),14.33,10.66,13.32,5.61,9.30
ROA(%),7.89,6.39,8.61,3.64,6.18
부채비율,67.87,64.90,55.11,53.15,48.24
자본유보율,"2,455.15","2,698.77","3,056.33","3,202.30","3,526.78"
EPS(원),"1,695","1,404","1,950",902,"1,634"
PER(배),4.61,3.82,3.04,6.13,4.22
BPS(원),"12,598","13,736","15,540","16,584","18,556"
PBR(배),0.62,0.39,0.38,0.33,0.37
현금DPS(원),125,125,125,125,125
현금배당수익률,1.60,2.33,2.11,2.26,1.81
현금배당성향(%),7.37,8.90,6.41,13.86,7.65
발행주식수(보통주),"20,037,600","20,037,600","20,037,600","20,037,600","20,037,600"
