주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,,,228,371,419
영업이익,,,17,47,28
영업이익(발표기준),,,17,47,28
세전계속사업이익,,,23,45,-46
당기순이익,,,19,37,-57
  당기순이익(지배),,,19,37,-65
  당기순이익(비지배),,,,,8
자산총계,,,285,274,850
부채총계,,,155,107,259
자본총계,,,130,167,591
  자본총계(지배),,,130,167,309
  자본총계(비지배),,,,,281
자본금,,,30,30,31
영업활동현금흐름,,,15,54,-7
투자활동현금흐름,,,97,-2,-14
재무활동현금흐름,,,-12,-45,10
CAPEX,,,0,1,21
FCF,,0,15,54,-27
이자발생부채,,0,119,73,91
영업이익률,,,7.31,12.69,6.80
순이익률,,,8.31,9.85,-13.52
ROE(%),,,,24.60,
ROA(%),,,,13.08,
부채비율,,,118.53,64.38,43.86
자본유보율,,,329.62,449.13,909.03
EPS(원),,,68,130,-217
PER(배),,,,,N/A
BPS(원),,,463,591,"1,007"
PBR(배),,,,,2.61
현금DPS(원),0,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"17,645,672","27,694,882","28,191,747","28,191,747","30,726,747"
