주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,420,373,498,569,719
영업이익,93,48,74,97,132
영업이익(발표기준),93,48,74,97,132
세전계속사업이익,116,58,81,99,130
당기순이익,91,46,63,86,98
  당기순이익(지배),91,46,63,86,101
  당기순이익(비지배),,,,,-3
자산총계,904,925,"1,006","1,360","1,461"
부채총계,319,349,328,568,604
자본총계,585,576,677,792,857
  자본총계(지배),585,576,677,775,843
  자본총계(비지배),,,,17,14
자본금,172,172,179,182,182
영업활동현금흐름,138,53,127,138,181
투자활동현금흐름,-32,10,-74,-297,159
재무활동현금흐름,-42,-16,-58,74,-125
CAPEX,29,37,46,171,14
FCF,110,16,81,-34,167
이자발생부채,165,194,134,353,278
영업이익률,22.06,12.73,14.92,17.09,18.38
순이익률,21.69,12.23,12.59,15.08,13.62
ROE(%),16.14,7.86,9.99,,12.49
ROA(%),10.24,4.99,6.49,,6.94
부채비율,54.46,60.52,48.45,71.71,70.43
자본유보율,223.81,234.24,278.45,324.47,361.00
EPS(원),265,132,175,237,278
PER(배),22.83,29.97,29.06,23.58,23.94
BPS(원),"1,698","1,671","1,889","2,133","2,321"
PBR(배),3.56,2.38,2.70,2.62,2.87
현금DPS(원),165,50,50,100,150
현금배당수익률,2.73,1.26,0.98,1.79,2.25
현금배당성향(%),56.51,37.75,28.62,42.34,53.91
발행주식수(보통주),"34,470,000","34,470,000","35,860,150","36,338,727","36,338,727"
