주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,93,91,113,95,206
영업이익,2,-8,3,-17,-25
영업이익(발표기준),2,-8,3,-17,-25
세전계속사업이익,2,-35,-24,-17,-29
당기순이익,2,-38,-27,-18,-20
  당기순이익(지배),2,-38,-27,-18,-20
  당기순이익(비지배),,,,,
자산총계,177,147,141,114,525
부채총계,31,29,32,18,103
자본총계,145,118,108,96,422
  자본총계(지배),145,118,108,96,422
  자본총계(비지배),,,,,
자본금,48,48,51,51,100
영업활동현금흐름,-1,0,17,-9,-20
투자활동현금흐름,-17,-12,-8,-26,-86
재무활동현금흐름,22,-3,18,-1,363
CAPEX,5,4,1,2,2
FCF,-7,-5,16,-11,-21
이자발생부채,6,3,10,11,46
영업이익률,1.82,-8.51,2.29,-17.95,-11.89
순이익률,1.79,-41.72,-24.19,-19.01,-9.86
ROE(%),,-28.66,-24.12,-17.65,
ROA(%),,-23.33,-18.96,-14.12,
부채비율,21.57,24.61,30.03,19.25,24.41
자본유보율,187.20,106.41,81.23,46.24,268.45
EPS(원),2,-55,-39,-25,-26
PER(배),188.31,N/A,N/A,N/A,N/A
BPS(원),212,172,149,132,423
PBR(배),2.16,1.89,6.49,14.37,2.84
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"68,521,709","68,521,709","72,820,445","72,820,445","99,808,613"
