주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,686","2,823","1,983","1,235","1,146","1,643","1,844"
영업이익,326,715,300,27,-90,226,286
영업이익(발표기준),326,715,300,27,-90,,
세전계속사업이익,287,711,308,16,-71,233,291
당기순이익,240,525,254,12,-66,198,247
  당기순이익(지배),242,524,255,17,-60,198,247
  당기순이익(비지배),-1,1,-1,-4,-6,,
자산총계,"1,498","1,899","1,957","1,990","2,059","2,104","2,369"
부채총계,574,488,349,427,526,607,726
자본총계,924,"1,411","1,608","1,563","1,533","1,497","1,643"
  자본총계(지배),927,"1,403","1,594","1,543","1,509","1,477","1,623"
  자본총계(비지배),-3,,14,20,24,,
자본금,106,106,106,106,106,106,106
영업활동현금흐름,323,644,216,39,-58,346,424
투자활동현금흐름,-74,-127,-43,-114,-345,-542,-357
재무활동현금흐름,38,-106,-102,-64,75,-40,-31
CAPEX,30,48,76,101,168,510,350
FCF,292,595,140,-63,-226,-186,56
이자발생부채,170,139,140,140,211,,
영업이익률,19.32,25.32,15.11,2.17,-7.90,13.76,15.51
순이익률,14.27,18.59,12.82,1.00,-5.76,12.05,13.40
ROE(%),29.34,44.95,17.03,1.06,-3.92,13.26,15.93
ROA(%),18.87,30.90,13.18,0.62,-3.26,9.51,11.04
부채비율,62.11,34.55,21.70,27.36,34.28,40.55,44.19
자본유보율,820.19,"1,270.01","1,440.85","1,409.29","1,356.97",,
EPS(원),"1,143","2,478","1,208",78,-283,937,"1,169"
PER(배),11.19,4.24,11.88,346.56,N/A,28.18,22.59
BPS(원),"4,574","6,925","7,828","7,603","7,422","7,264","7,982"
PBR(배),2.80,1.52,1.83,3.58,3.99,3.63,3.31
현금DPS(원),200,400,250,,,500,500
현금배당수익률,1.56,3.81,1.74,,,1.89,1.89
현금배당성향(%),16.77,15.48,19.94,0.00,,53.37,42.78
발행주식수(보통주),"21,134,126","21,134,126","21,134,126","21,134,126","21,134,126",,
