주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,183,661,610,457,673
영업이익,5,51,58,-9,-1
영업이익(발표기준),5,51,58,-9,-1
세전계속사업이익,1,27,-106,-19,4
당기순이익,2,21,-121,-16,12
  당기순이익(지배),2,21,-121,-16,12
  당기순이익(비지배),,0,0,0,0
자산총계,203,354,548,675,"1,240"
부채총계,153,283,303,304,833
자본총계,50,71,245,372,407
  자본총계(지배),50,70,244,371,406
  자본총계(비지배),,1,1,1,1
자본금,29,29,39,46,93
영업활동현금흐름,1,2,6,-53,-365
투자활동현금흐름,-28,-8,-69,-42,-113
재무활동현금흐름,33,37,102,167,369
CAPEX,25,4,93,27,98
FCF,-23,-2,-88,-79,-463
이자발생부채,72,84,96,121,419
영업이익률,2.49,7.70,9.58,-1.93,-0.19
순이익률,1.07,3.23,-19.85,-3.53,1.72
ROE(%),4.47,,-77.28,-5.28,3.00
ROA(%),1.07,,-26.85,-2.64,1.21
부채비율,307.20,400.69,123.83,81.60,204.41
자본유보율,72.77,100.35,487.06,667.76,322.18
EPS(원),18,178,-836,-96,63
PER(배),162.72,19.65,N/A,N/A,165.14
BPS(원),441,557,"1,566","2,001","2,193"
PBR(배),6.50,6.28,5.43,2.96,4.74
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"11,039,180","11,684,340","15,579,530","18,534,230","18,534,230"
