주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,539,610,845,874,988
영업이익,24,52,111,110,126
영업이익(발표기준),24,52,111,110,126
세전계속사업이익,26,41,101,110,119
당기순이익,31,46,101,110,115
  당기순이익(지배),31,46,101,110,115
  당기순이익(비지배),,,,,
자산총계,"1,210","1,238","1,356","1,860","1,974"
부채총계,426,441,470,215,230
자본총계,784,797,886,"1,645","1,744"
  자본총계(지배),784,797,886,"1,645","1,744"
  자본총계(비지배),,,,,
자본금,99,99,99,107,107
영업활동현금흐름,95,123,87,68,126
투자활동현금흐름,-91,-61,-54,-442,138
재무활동현금흐름,70,-38,-19,498,-51
CAPEX,110,13,48,181,141
FCF,-15,110,40,-113,-15
이자발생부채,337,320,306,80,43
영업이익률,4.53,8.50,13.14,12.63,12.76
순이익률,5.81,7.58,11.96,12.58,11.63
ROE(%),4.08,5.85,12.00,,6.79
ROA(%),2.59,3.78,7.79,,6.00
부채비율,54.37,55.41,53.05,13.09,13.19
자본유보율,694.11,730.47,820.77,"1,454.60","1,545.53"
EPS(원),159,234,512,539,536
PER(배),27.16,16.09,23.84,80.67,68.65
BPS(원),"3,971","4,168","4,634","7,896","8,374"
PBR(배),1.09,0.90,2.63,5.51,4.39
현금DPS(원),50,50,50,80,100
현금배당수익률,1.16,1.33,0.41,0.18,0.27
현금배당성향(%),31.51,20.67,9.46,15.15,18.11
발행주식수(보통주),"19,735,331","19,735,331","19,735,331","21,451,447","21,451,447"
