주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,"1,177","1,217","1,312","1,326","1,895","2,194","2,324"
영업이익,38,35,39,48,168,204,200
영업이익(발표기준),38,35,39,48,168,,
세전계속사업이익,33,26,33,47,152,189,184
당기순이익,29,21,22,38,104,137,138
  당기순이익(지배),29,21,22,38,104,137,138
  당기순이익(비지배),,,,,,,
자산총계,"1,348","1,332","1,520","1,491","2,092","2,312","2,622"
부채총계,527,494,539,478,643,750,922
자본총계,822,838,980,"1,014","1,449","1,562","1,700"
  자본총계(지배),822,838,980,"1,014","1,449","1,562","1,700"
  자본총계(비지배),,,,,,,
자본금,121,121,121,121,121,121,121
영업활동현금흐름,-16,33,36,73,74,70,117
투자활동현금흐름,-11,-13,-2,-15,-29,-13,-29
재무활동현금흐름,18,-31,-32,-44,-38,134,-91
CAPEX,15,15,2,16,29,12,29
FCF,-30,18,33,56,46,58,85
이자발생부채,411,385,360,320,289,,
영업이익률,3.25,2.89,3.00,3.61,8.88,9.32,8.61
순이익률,2.43,1.73,1.69,2.86,5.50,6.24,5.94
ROE(%),3.62,2.54,2.44,3.81,8.47,9.10,8.46
ROA(%),2.17,1.57,1.56,2.52,5.82,6.22,5.59
부채비율,64.09,59.00,55.00,47.14,44.40,48.05,54.24
자본유보율,468.67,482.03,496.33,523.59,604.56,,
EPS(원),127,87,91,156,430,565,569
PER(배),13.86,33.30,25.70,20.21,10.33,9.80,9.72
BPS(원),"3,385","3,452","4,040","4,176","5,970","6,436","7,005"
PBR(배),0.52,0.84,0.58,0.76,0.74,0.86,0.79
현금DPS(원),20,20,20,25,30,28,30
현금배당수익률,1.14,0.69,0.85,0.79,0.68,0.50,0.54
현금배당성향(%),16.98,23.04,21.87,15.99,6.98,4.87,5.28
발행주식수(보통주),"24,268,402","24,268,402","24,268,402","24,268,402","24,268,402",,
