주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,877,701,709,702,657
영업이익,30,27,-5,43,37
영업이익(발표기준),30,27,-5,43,37
세전계속사업이익,17,51,37,60,61
당기순이익,10,46,34,44,46
  당기순이익(지배),10,46,34,44,46
  당기순이익(비지배),,,,,
자산총계,"1,159","1,275","1,270","1,153","1,468"
부채총계,385,410,386,230,296
자본총계,774,865,884,924,"1,172"
  자본총계(지배),774,865,884,924,"1,172"
  자본총계(비지배),,,,,
자본금,30,32,32,32,32
영업활동현금흐름,32,17,29,80,134
투자활동현금흐름,-146,-100,34,84,-182
재무활동현금흐름,89,85,-27,-126,-5
CAPEX,20,42,50,20,40
FCF,11,-25,-21,59,94
이자발생부채,102,141,121,14,13
영업이익률,3.44,3.80,-0.65,6.10,5.63
순이익률,1.15,6.63,4.79,6.33,7.06
ROE(%),1.43,5.67,3.88,4.92,4.43
ROA(%),0.96,3.82,2.67,3.67,3.54
부채비율,49.73,47.42,43.63,24.88,25.29
자본유보율,"1,833.11","1,931.20","1,991.69","2,114.42","2,246.65"
EPS(원),33,147,106,139,145
PER(배),52.23,17.64,28.95,21.80,26.54
BPS(원),"2,667","2,705","2,766","2,888","3,663"
PBR(배),0.64,0.96,1.11,1.05,1.05
현금DPS(원),55,35,15,15,15
현금배당수익률,3.20,1.35,0.49,0.50,0.39
현금배당성향(%),159.02,24.09,14.12,10.79,10.34
발행주식수(보통주),"30,479,960","31,979,960","31,979,960","31,979,960","31,979,960"
