주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,271,301,327,394,477
영업이익,12,17,17,24,21
영업이익(발표기준),12,17,17,24,21
세전계속사업이익,12,15,17,24,-38
당기순이익,10,12,14,24,-31
  당기순이익(지배),10,12,14,24,-31
  당기순이익(비지배),,,,,
자산총계,196,198,258,279,439
부채총계,129,121,171,168,177
자본총계,67,77,87,111,262
  자본총계(지배),67,77,87,111,262
  자본총계(비지배),,,,,
자본금,5,5,5,5,27
영업활동현금흐름,28,6,6,24,-5
투자활동현금흐름,-16,-9,-37,-15,-16
재무활동현금흐름,-1,-6,32,-9,30
CAPEX,13,7,46,22,19
FCF,15,-1,-40,2,-24
이자발생부채,88,84,121,112,113
영업이익률,4.30,5.75,5.25,6.08,4.41
순이익률,3.53,3.96,4.42,5.97,-6.50
ROE(%),15.35,16.53,17.66,23.82,-16.63
ROA(%),5.04,6.04,6.34,8.77,-8.63
부채비율,192.08,157.52,197.41,151.64,67.65
자본유보율,"1,242.18","1,440.40","1,633.85","2,117.81",855.23
EPS(원),38,48,58,94,-124
PER(배),,,,,N/A
BPS(원),268,307,346,442,955
PBR(배),,,,,3.08
현금DPS(원),8,0,0,0,
현금배당수익률,,,0.00,0.00,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"25,062,484","25,062,484","25,062,484","25,062,484","27,388,364"
