주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,142,134,150,177,259,285,304,323
영업이익,44,37,55,75,138,150,158,170
영업이익(발표기준),44,37,55,75,138,,,
세전계속사업이익,108,50,41,84,175,182,189,204
당기순이익,85,42,31,66,137,141,146,158
  당기순이익(지배),85,42,31,66,137,141,146,158
  당기순이익(비지배),,,,,,,,
자산총계,"1,308","1,454","1,473","1,532","1,670","1,774","1,883","2,006"
부채총계,131,128,123,128,151,155,160,166
자본총계,"1,177","1,327","1,350","1,404","1,519","1,619","1,723","1,840"
  자본총계(지배),"1,177","1,327","1,350","1,404","1,519","1,619","1,723","1,840"
  자본총계(비지배),,,,,,,,
자본금,35,41,41,41,41,41,41,41
영업활동현금흐름,65,49,66,84,155,156,163,176
투자활동현금흐름,-25,-147,-61,-43,-138,54,-59,-62
재무활동현금흐름,-9,93,-8,-10,-21,-41,-41,-41
CAPEX,9,6,21,6,14,15,16,18
FCF,57,43,44,79,141,109,114,124
이자발생부채,0,0,0,0,0,,,
영업이익률,30.80,27.76,36.95,42.06,53.41,52.63,51.97,52.63
순이익률,60.10,31.34,20.52,37.32,53.05,49.47,48.03,48.92
ROE(%),7.53,3.37,2.30,4.80,9.40,8.99,8.74,8.87
ROA(%),6.76,3.05,2.10,4.40,8.58,8.19,7.99,8.13
부채비율,11.16,9.63,9.15,9.14,9.95,9.57,9.29,9.02
자본유보율,"3,259.87","3,115.17","3,169.96","3,304.62","3,588.37",,,
EPS(원),488,236,150,321,667,685,709,767
PER(배),,39.78,95.92,34.57,12.44,12.64,12.21,11.28
BPS(원),"6,725","6,444","6,556","6,819","7,377","7,864","8,369","8,937"
PBR(배),0.00,1.46,2.19,1.63,1.13,1.10,1.03,0.97
현금DPS(원),100,40,50,100,200,200,200,200
현금배당수익률,,0.43,0.35,0.90,2.41,2.31,2.31,2.31
현금배당성향(%),20.49,19.54,33.42,31.15,29.98,29.20,28.20,26.06
발행주식수(보통주),"17,500,000","20,588,000","20,588,000","20,588,000","20,588,000",,,
