주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,24,25,122,139,152
영업이익,-16,-15,-18,-4,-13
영업이익(발표기준),-16,-15,-18,-4,-13
세전계속사업이익,-32,0,-5,13,-13
당기순이익,-27,-4,-7,1,-16
  당기순이익(지배),-27,-3,-7,-14,-22
  당기순이익(비지배),,0,0,16,6
자산총계,180,276,428,471,699
부채총계,10,32,95,137,182
자본총계,170,244,333,334,517
  자본총계(지배),170,242,259,240,291
  자본총계(비지배),,,75,94,226
자본금,28,32,32,32,32
영업활동현금흐름,-8,-3,-6,25,-15
투자활동현금흐름,-19,-47,-107,4,-201
재무활동현금흐름,6,102,56,32,265
CAPEX,2,28,1,1,11
FCF,-11,-31,-7,24,-25
이자발생부채,0,20,23,47,92
영업이익률,-68.86,-59.00,-14.50,-2.83,-8.76
순이익률,-114.20,-14.17,-5.79,0.89,-10.63
ROE(%),-23.52,,-2.68,-5.79,-8.42
ROA(%),-20.79,,-2.01,0.27,-2.77
부채비율,5.80,12.98,28.55,40.92,35.23
자본유보율,572.74,714.17,764.30,711.76,864.98
EPS(원),-98,-11,-21,-45,-70
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),625,777,829,770,933
PBR(배),2.75,5.67,2.75,3.31,2.49
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"28,230,427","32,171,314","32,171,314","32,171,314","32,171,314"
