주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,167,191,254,187,261
영업이익,24,25,42,20,39
영업이익(발표기준),24,25,42,20,39
세전계속사업이익,19,27,45,18,50
당기순이익,16,23,36,16,43
  당기순이익(지배),16,23,36,16,43
  당기순이익(비지배),,0,0,0,0
자산총계,197,228,269,396,464
부채총계,48,63,35,24,52
자본총계,149,165,233,372,413
  자본총계(지배),149,166,233,372,412
  자본총계(비지배),,-1,0,0,1
자본금,16,16,27,33,33
영업활동현금흐름,25,20,17,24,48
투자활동현금흐름,-12,-27,19,-165,-41
재무활동현금흐름,-2,1,-1,120,-6
CAPEX,11,4,2,14,16
FCF,14,16,15,10,32
이자발생부채,28,33,8,4,3
영업이익률,14.25,13.21,16.46,10.77,15.03
순이익률,9.56,12.01,14.24,8.64,16.37
ROE(%),11.37,,18.09,5.35,10.86
ROA(%),8.56,,14.54,4.87,9.93
부채비율,31.98,38.28,15.19,6.43,12.48
자본유보율,814.69,920.85,783.31,"1,030.80","1,143.25"
EPS(원),303,433,681,278,641
PER(배),,,,28.44,12.18
BPS(원),"2,820","3,139","4,385","5,609","6,200"
PBR(배),0.00,0.00,0.00,1.41,1.26
현금DPS(원),0,0,0,80,150
현금배당수익률,,,,1.01,1.92
현금배당성향(%),0.00,0.00,0.00,32.79,23.39
발행주식수(보통주),"4,881,451","4,881,451","5,318,863","6,636,863","6,636,863"
