주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,,,,3,15
영업이익,,,-48,-73,-114
영업이익(발표기준),,,-48,-73,-114
세전계속사업이익,,,-60,-90,-123
당기순이익,,,-60,-90,-123
  당기순이익(지배),,,-60,-90,-123
  당기순이익(비지배),,,,,
자산총계,,,28,156,200
부채총계,,,74,282,181
자본총계,,,-46,-126,19
  자본총계(지배),,,-46,-126,19
  자본총계(비지배),,,,,
자본금,,,7,33,44
영업활동현금흐름,,,-40,-68,-106
투자활동현금흐름,,,-6,-115,-21
재무활동현금흐름,,,58,172,127
CAPEX,,,3,29,5
FCF,,,-43,-98,-111
이자발생부채,,,25,83,149
영업이익률,,,,"-2,460.80",-775.29
순이익률,,,,"-3,039.09",-834.61
ROE(%),,,,104.21,228.32
ROA(%),,,,-97.80,-69.32
부채비율,,,-160.90,-223.09,974.90
자본유보율,,,-794.00,-480.46,-68.18
EPS(원),,,-858,"-1,073","-1,318"
PER(배),,,,,
BPS(원),,,-638,"-1,424",187
PBR(배),,,0.00,0.00,0.00
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,,
현금배당성향(%),,,0.00,0.00,
발행주식수(보통주),"5,707,050","6,107,050","6,598,850","6,680,950","8,880,050"
