주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,329,515,731,552,903,"1,255","1,752"
영업이익,19,60,129,46,34,240,359
영업이익(발표기준),19,60,129,46,34,,
세전계속사업이익,10,62,133,89,-28,234,356
당기순이익,12,53,116,79,1,205,302
  당기순이익(지배),12,53,116,79,0,171,314
  당기순이익(비지배),,,,,1,,
자산총계,258,413,767,892,"1,773","1,381","2,079"
부채총계,111,150,191,239,739,556,940
자본총계,147,263,575,653,"1,034",825,"1,139"
  자본총계(지배),147,263,575,653,"1,007",825,"1,139"
  자본총계(비지배),,,,,27,,
자본금,27,28,33,33,72,33,33
영업활동현금흐름,11,43,60,29,112,92,81
투자활동현금흐름,-31,-21,-234,-56,-661,-205,-321
재무활동현금흐름,10,60,172,58,708,64,219
CAPEX,8,5,13,48,215,200,260
FCF,3,38,47,-19,-104,-80,-191
이자발생부채,49,34,48,112,585,,
영업이익률,5.91,11.74,17.59,8.30,3.75,19.09,20.49
순이익률,3.50,10.19,15.81,14.32,0.06,16.30,17.24
ROE(%),8.21,25.64,27.57,12.87,-0.02,18.67,31.98
ROA(%),4.60,15.66,19.60,9.53,0.04,12.98,17.46
부채비율,75.67,57.08,33.24,36.62,71.46,67.39,82.53
자본유보율,448.86,835.52,"1,626.77","1,858.21","1,270.45",,
EPS(원),108,480,954,594,-1,"1,185","2,176"
PER(배),,,22.48,44.87,N/A,18.27,9.95
BPS(원),"1,376","2,336","4,324","4,907","6,981","5,718","7,894"
PBR(배),0.00,0.00,4.96,5.43,4.06,3.79,2.74
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,,,0.00,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"10,680,076","11,246,534","13,306,534","13,306,534","13,306,534",,
