주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,508,547,513,504,483
영업이익,79,78,8,-108,-106
영업이익(발표기준),79,78,8,-108,-106
세전계속사업이익,72,69,6,-121,-145
당기순이익,31,58,4,-93,-111
  당기순이익(지배),31,58,4,-93,-111
  당기순이익(비지배),,,,,
자산총계,600,857,964,972,"1,190"
부채총계,367,279,384,288,667
자본총계,233,578,580,684,523
  자본총계(지배),233,578,580,684,523
  자본총계(비지배),,,,,
자본금,21,30,30,40,40
영업활동현금흐름,61,-41,-33,-22,19
투자활동현금흐름,-53,-57,-160,-82,-81
재무활동현금흐름,-8,221,119,68,252
CAPEX,18,55,160,78,72
FCF,44,-96,-193,-100,-53
이자발생부채,215,151,275,153,371
영업이익률,15.45,14.21,1.54,-21.50,-21.98
순이익률,6.08,10.66,0.80,-18.50,-23.00
ROE(%),14.20,,0.71,-14.75,-18.41
ROA(%),5.37,,0.45,-9.63,-10.28
부채비율,157.92,48.24,66.12,42.14,127.44
자본유보율,974.19,"1,836.37","1,845.65","1,615.94","1,340.17"
EPS(원),669,"1,071",64,"-1,367","-1,406"
PER(배),,11.43,199.60,N/A,N/A
BPS(원),"4,989","9,046","9,084","8,650","6,934"
PBR(배),0.00,1.35,1.41,2.13,1.46
현금DPS(원),0,0,0,,
현금배당수익률,,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,546,322","6,390,535","6,390,535","7,903,728","7,903,728"
