주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,201,464,282,221,589,"1,112"
영업이익,-27,12,-11,-9,69,162
영업이익(발표기준),-27,12,-11,-9,69,
세전계속사업이익,-31,14,-10,-76,165,200
당기순이익,-24,23,-12,-74,170,174
  당기순이익(지배),-24,23,-12,-74,170,174
  당기순이익(비지배),,,,,,
자산총계,143,195,403,552,977,
부채총계,38,67,16,245,500,
자본총계,105,128,386,307,477,
  자본총계(지배),105,128,386,307,477,
  자본총계(비지배),,,,,,
자본금,37,37,47,47,48,
영업활동현금흐름,-28,6,-79,64,-323,
투자활동현금흐름,-1,3,-210,35,-84,
재무활동현금흐름,50,4,254,-17,338,
CAPEX,0,0,0,0,8,
FCF,-28,6,-79,64,-331,
이자발생부채,10,10,3,2,104,
영업이익률,-13.54,2.55,-3.80,-3.97,11.77,14.62
순이익률,-12.16,5.00,-4.20,-33.40,28.93,15.65
ROE(%),-26.44,19.90,-4.61,-21.30,,
ROA(%),-20.35,13.73,-3.97,-15.47,,
부채비율,36.14,52.18,4.26,79.64,104.81,
자본유보율,185.00,245.92,719.24,561.17,"1,059.02",
EPS(원),-334,314,-143,-792,"1,795","1,825"
PER(배),,,N/A,N/A,16.74,13.72
BPS(원),"1,425","1,730","4,143","3,358","5,139",
PBR(배),0.00,0.00,2.15,11.36,5.85,
현금DPS(원),0,0,0,0,,
현금배당수익률,,,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"7,392,140","7,392,140","9,318,240","9,318,240","9,531,760",
