주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,287,273,184,184,252
영업이익,13,15,-4,-4,8
영업이익(발표기준),13,15,-4,-4,8
세전계속사업이익,13,27,6,1,12
당기순이익,11,23,5,1,12
  당기순이익(지배),11,23,5,1,12
  당기순이익(비지배),,,,,
자산총계,475,486,479,530,641
부채총계,42,32,24,43,70
자본총계,433,454,455,487,570
  자본총계(지배),433,454,455,487,570
  자본총계(비지배),,,,,
자본금,30,30,30,30,30
영업활동현금흐름,-12,14,6,-5,3
투자활동현금흐름,65,49,-132,62,-135
재무활동현금흐름,-3,-3,-1,-20,90
CAPEX,1,0,2,2,2
FCF,-13,14,4,-7,1
이자발생부채,0,0,1,0,5
영업이익률,4.64,5.41,-2.34,-2.37,3.20
순이익률,3.97,8.46,2.93,0.63,4.83
ROE(%),2.66,5.20,1.19,0.25,2.30
ROA(%),2.41,4.80,1.12,0.23,2.08
부채비율,9.74,7.02,5.35,8.81,12.35
자본유보율,"1,280.27","1,348.46","1,367.27","1,364.80","1,585.44"
EPS(원),190,384,90,19,203
PER(배),45.33,16.31,63.91,845.10,95.94
BPS(원),"8,181","8,569","8,593","9,949","10,566"
PBR(배),1.05,0.73,0.67,1.64,1.84
현금DPS(원),50,50,50,50,50
현금배당수익률,0.58,0.80,0.87,0.31,0.26
현금배당성향(%),23.25,11.48,48.95,211.54,22.18
발행주식수(보통주),"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000"
