주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,164,157,158,309,357
영업이익,1,3,-4,24,28
영업이익(발표기준),1,3,-4,24,28
세전계속사업이익,14,2,307,76,62
당기순이익,14,2,337,71,55
  당기순이익(지배),14,3,337,76,52
  당기순이익(비지배),,-1,0,-6,3
자산총계,872,931,"1,742","1,960","2,220"
부채총계,340,326,480,654,826
자본총계,532,604,"1,262","1,306","1,394"
  자본총계(지배),532,602,"1,243","1,305","1,368"
  자본총계(비지배),,3,19,0,26
자본금,63,72,141,141,141
영업활동현금흐름,-3,26,18,38,-6
투자활동현금흐름,-11,-26,-21,-174,-59
재무활동현금흐름,12,32,77,108,155
CAPEX,2,1,1,6,16
FCF,-5,25,17,32,-23
이자발생부채,291,273,332,435,556
영업이익률,0.58,1.69,-2.66,7.67,7.96
순이익률,8.37,1.04,212.86,22.88,15.30
ROE(%),2.66,,36.53,5.99,3.87
ROA(%),1.63,,25.21,3.82,2.61
부채비율,63.93,54.03,38.04,50.06,59.28
자본유보율,736.08,711.02,834.99,890.58,928.22
EPS(원),109,20,"1,903",270,183
PER(배),31.08,156.98,1.46,23.50,51.89
BPS(원),"4,227","4,204","4,404","5,260","5,512"
PBR(배),0.80,0.76,0.63,1.21,1.73
현금DPS(원),0,0,,,
현금배당수익률,0.00,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"12,583,016","14,309,144","28,217,081","28,217,081","28,217,081"
