주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,327,302,360,335,300
영업이익,-46,-83,-22,-9,-3
영업이익(발표기준),-46,-83,-22,-9,-3
세전계속사업이익,-42,-85,-25,6,-14
당기순이익,-42,-102,-28,6,-13
  당기순이익(지배),-42,-102,-28,6,-13
  당기순이익(비지배),,,,,
자산총계,641,579,556,531,533
부채총계,117,156,166,133,145
자본총계,524,422,390,398,387
  자본총계(지배),524,422,390,398,387
  자본총계(비지배),,,,,
자본금,36,36,36,36,36
영업활동현금흐름,-16,-36,-24,-22,-10
투자활동현금흐름,2,58,-5,16,-8
재무활동현금흐름,-13,,-4,6,21
CAPEX,6,16,9,13,9
FCF,-22,-51,-33,-35,-20
이자발생부채,0,0,4,18,33
영업이익률,-14.13,-27.53,-6.13,-2.56,-1.02
순이익률,-12.80,-33.79,-7.65,1.86,-4.27
ROE(%),-7.71,-21.59,-6.79,1.59,-3.26
ROA(%),-6.24,-16.75,-4.86,1.15,-2.40
부채비율,22.31,37.04,42.66,33.52,37.47
자본유보율,"1,356.69","1,072.86",981.96,"1,004.49",975.99
EPS(원),-582,"-1,419",-383,87,-178
PER(배),N/A,N/A,N/A,35.79,N/A
BPS(원),"7,283","5,864","5,410","5,522","5,380"
PBR(배),0.39,2.48,0.61,0.56,0.47
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,200,000","7,200,000","7,200,000","7,200,000","7,200,000"
