주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"3,654","3,750","3,763","3,348","5,224","7,078","7,708"
영업이익,152,159,163,22,12,167,207
영업이익(발표기준),152,159,163,22,12,,
세전계속사업이익,141,113,99,-26,-46,130,169
당기순이익,128,93,71,-59,-86,110,143
  당기순이익(지배),128,93,71,-59,-43,92,129
  당기순이익(비지배),0,0,0,0,-43,,
자산총계,"4,180","4,086","4,124","3,786","6,218","6,317","6,566"
부채총계,"2,795","2,602","2,540","2,308","4,435","4,423","4,529"
자본총계,"1,385","1,484","1,584","1,478","1,783","1,894","2,037"
  자본총계(지배),"1,385","1,484","1,584","1,478","1,543","1,635","1,764"
  자본총계(비지배),0,,0,0,240,,
자본금,74,79,87,89,89,89,89
영업활동현금흐름,-31,227,355,224,-133,479,123
투자활동현금흐름,-354,-10,-129,-53,-310,-147,-49
재무활동현금흐름,217,-212,-36,-116,377,-321,1
CAPEX,106,22,111,40,39,0,0
FCF,-137,205,244,184,-172,488,147
이자발생부채,"2,186","2,045","2,035","1,919","3,501",,
영업이익률,4.17,4.24,4.34,0.66,0.24,2.36,2.69
순이익률,3.51,2.49,1.90,-1.75,-1.65,1.55,1.86
ROE(%),9.48,6.51,4.66,-3.83,-2.85,5.79,7.59
ROA(%),3.15,2.26,1.74,-1.48,-1.72,1.75,2.22
부채비율,201.81,175.39,160.34,156.17,248.70,233.53,222.34
자본유보율,"1,842.47","1,867.97","1,783.22","1,664.99","1,666.59",,
EPS(원),862,607,421,-335,-243,519,728
PER(배),5.65,6.88,11.11,N/A,N/A,10.48,7.47
BPS(원),"9,923","10,125","9,702","9,018","9,417","9,978","10,765"
PBR(배),0.49,0.41,0.48,0.59,0.53,0.55,0.51
현금DPS(원),150,160,160,130,,0,0
현금배당수익률,3.08,3.83,3.42,2.46,,0.00,0.00
현금배당성향(%),16.32,25.10,36.54,-36.34,,,
발행주식수(보통주),"14,886,642","15,726,284","17,449,357","17,718,250","17,718,250",,
