주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"5,284","6,098","6,010","4,831","5,331"
영업이익,210,93,291,93,284
영업이익(발표기준),210,93,291,93,284
세전계속사업이익,94,66,235,11,259
당기순이익,62,52,178,20,188
  당기순이익(지배),69,51,180,29,214
  당기순이익(비지배),-7,0,-2,-9,-25
자산총계,"2,670","3,258","3,076","3,305","3,834"
부채총계,"1,438","1,882","1,517","1,721","2,007"
자본총계,"1,231","1,376","1,559","1,584","1,827"
  자본총계(지배),"1,249","1,394","1,579","1,591","1,829"
  자본총계(비지배),-18,,-20,-7,-2
자본금,67,73,74,75,79
영업활동현금흐름,-189,-755,437,461,-359
투자활동현금흐름,-57,-32,-37,-87,-71
재무활동현금흐름,87,681,-295,83,192
CAPEX,47,41,23,36,37
FCF,-237,-796,414,425,-395
이자발생부채,514,"1,097",812,894,950
영업이익률,3.98,1.53,4.84,1.92,5.32
순이익률,1.17,0.85,2.96,0.41,3.53
ROE(%),5.67,3.89,12.08,1.85,12.49
ROA(%),2.44,1.75,5.62,0.63,5.27
부채비율,116.82,136.77,97.31,108.64,109.83
자본유보율,"1,815.06","1,867.61","2,076.71","2,049.39","2,253.98"
EPS(원),483,337,"1,156",187,"1,329"
PER(배),23.81,22.48,6.89,33.56,13.21
BPS(원),"9,026","9,284","10,284","10,616","11,812"
PBR(배),1.27,0.82,0.77,0.59,1.49
현금DPS(원),113,94,94,48,98
현금배당수익률,0.99,1.25,1.19,0.77,0.56
현금배당성향(%),22.84,27.54,8.07,24.61,7.11
발행주식수(보통주),"14,194,911","15,366,406","15,652,018","15,652,018","16,155,561"
