주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,401,201,132,71,43
영업이익,-9,-62,-58,-18,-30
영업이익(발표기준),-9,-62,-58,-18,-30
세전계속사업이익,-74,-463,-73,-22,-37
당기순이익,-92,-487,-73,-63,-88
  당기순이익(지배),-92,-487,-74,-64,-87
  당기순이익(비지배),1,0,1,1,0
자산총계,407,184,188,215,168
부채총계,188,313,76,164,69
자본총계,219,-129,112,51,99
  자본총계(지배),219,-131,112,50,99
  자본총계(비지배),0,1,1,1,
자본금,153,206,148,146,123
영업활동현금흐름,53,-55,-7,-42,-41
투자활동현금흐름,1,-221,-14,-37,21
재무활동현금흐름,-65,268,60,44,41
CAPEX,35,12,13,23,13
FCF,18,-68,-20,-66,-54
이자발생부채,95,240,46,96,13
영업이익률,-2.27,-31.13,-43.93,-24.93,-70.30
순이익률,-22.84,-242.75,-55.60,-89.86,-205.06
ROE(%),-38.10,"-1,106.35",771.92,-79.27,-116.51
ROA(%),-19.96,-165.07,-39.40,-31.48,-45.67
부채비율,85.80,-242.05,67.47,318.13,69.48
자본유보율,60.17,-151.41,-0.91,-42.33,8.19
EPS(원),"-32,763","-130,207","-5,329",-877,-835
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"71,237","-31,607","1,524",689,806
PBR(배),0.36,N/A,5.15,9.03,7.72
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"307,856","414,308","7,318,906","7,320,363","12,334,250"
