주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,135,150,157,184,335,424,499
영업이익,57,57,62,55,90,126,152
영업이익(발표기준),57,57,62,55,90,,
세전계속사업이익,66,65,55,35,93,121,136
당기순이익,53,53,44,30,63,85,95
  당기순이익(지배),53,53,44,31,62,85,95
  당기순이익(비지배),,,,0,0,,
자산총계,359,398,641,710,732,,
부채총계,39,44,268,93,94,,
자본총계,320,354,373,617,638,,
  자본총계(지배),320,354,373,613,633,,
  자본총계(비지배),,,,4,5,,
자본금,48,48,48,57,113,,
영업활동현금흐름,39,50,50,69,105,,
투자활동현금흐름,-210,-35,45,-266,-57,,
재무활동현금흐름,169,-17,174,-32,-56,,
CAPEX,1,0,5,1,2,,
FCF,38,49,46,67,103,,
이자발생부채,0,0,115,4,11,,
영업이익률,42.39,37.74,39.52,29.72,26.82,29.72,30.46
순이익률,39.36,35.20,28.14,16.49,18.65,20.05,19.04
ROE(%),25.36,15.70,12.14,,10.02,,
ROA(%),20.11,13.99,8.49,,8.67,,
부채비율,12.15,12.37,71.87,15.01,14.79,,
자본유보율,570.76,641.90,680.96,"1,021.15",497.27,,
EPS(원),343,280,233,156,277,377,421
PER(배),14.27,27.09,30.67,56.18,53.51,27.07,24.22
BPS(원),"1,692","1,871","1,969","2,739","2,830",,
PBR(배),2.89,4.05,3.63,3.20,5.23,,
현금DPS(원),91,118,144,151,200,,
현금배당수익률,1.86,1.56,2.01,1.73,1.35,,
현금배당성향(%),32.44,42.20,61.67,109.41,71.68,,
발행주식수(보통주),"18,924,833","18,924,833","18,924,833","22,556,163","22,556,163",,
