주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"1,029","1,652","1,548","2,007","2,711","3,486","4,146","4,798"
영업이익,235,494,409,531,823,"1,088","1,310","1,543"
영업이익(발표기준),235,494,409,531,823,,,
세전계속사업이익,232,456,359,483,815,"1,077","1,298","1,559"
당기순이익,194,362,277,380,667,865,"1,034","1,258"
  당기순이익(지배),194,362,277,380,667,865,"1,034","1,258"
  당기순이익(비지배),,,,,,,,
자산총계,"1,350","2,488","2,951","3,525","4,437","5,248","6,240","7,715"
부채총계,495,"1,292","1,497","1,645","1,867","1,898","1,965","2,216"
자본총계,856,"1,197","1,454","1,881","2,570","3,350","4,274","5,498"
  자본총계(지배),856,"1,197","1,454","1,881","2,570","3,350","4,274","5,498"
  자본총계(비지배),,,,,,,,
자본금,47,96,98,98,99,100,100,99
영업활동현금흐름,310,443,403,709,966,"1,235","1,411","1,602"
투자활동현금흐름,-640,"-1,109",-580,-259,-779,-720,-594,-385
재무활동현금흐름,333,647,216,-54,-184,-232,-220,-136
CAPEX,638,"1,008",517,151,312,694,547,337
FCF,-328,-565,-113,558,654,566,854,"1,232"
이자발생부채,335,999,"1,281","1,278","1,213",,,
영업이익률,22.87,29.90,26.41,26.46,30.35,31.20,31.59,32.16
순이익률,18.90,21.94,17.86,18.96,24.59,24.81,24.93,26.21
ROE(%),30.56,35.33,20.86,22.82,29.96,29.21,27.11,25.74
ROA(%),18.72,18.89,10.17,11.75,16.75,17.86,17.99,18.03
부채비율,57.81,107.95,102.91,87.45,72.65,56.66,45.97,40.31
자본유보율,"1,703.49","1,140.04","1,390.93","1,743.51","2,319.39",,,
EPS(원),"1,097","1,891","1,409","1,939","3,387","4,378","5,232","6,367"
PER(배),16.87,6.37,13.45,14.75,18.54,14.14,11.83,9.72
BPS(원),"4,515","6,227","7,482","9,691","13,167","17,162","21,898","28,167"
PBR(배),4.10,1.94,2.53,2.95,4.77,3.61,2.83,2.20
현금DPS(원),125,250,200,300,600,730,773,533
현금배당수익률,0.68,2.07,1.06,1.05,0.96,1.18,1.25,0.86
현금배당성향(%),12.18,13.25,14.06,15.30,17.56,16.68,14.78,8.38
발행주식수(보통주),"18,949,474","19,216,474","19,627,674","19,627,674","19,737,674",,,
