주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,578,465,620,436,568,766,903,"1,131"
영업이익,116,4,17,-102,-31,50,92,173
영업이익(발표기준),116,4,17,-102,-31,,,
세전계속사업이익,86,6,-7,-159,-75,16,70,152
당기순이익,69,2,-12,-168,-74,14,59,130
  당기순이익(지배),69,2,-12,-168,-74,14,59,130
  당기순이익(비지배),,,,,,,,
자산총계,649,589,687,590,762,,,
부채총계,426,365,479,460,423,,,
자본총계,223,224,208,131,339,,,
  자본총계(지배),223,224,208,131,339,,,
  자본총계(비지배),,,,,,,,
자본금,41,41,41,45,56,,,
영업활동현금흐름,126,-1,9,-23,-108,,,
투자활동현금흐름,-37,-64,-33,-33,-103,,,
재무활동현금흐름,22,-7,85,23,201,,,
CAPEX,20,31,31,18,33,,,
FCF,106,-32,-21,-41,-141,,,
이자발생부채,278,259,361,337,260,,,
영업이익률,20.00,0.94,2.69,-23.44,-5.54,6.53,10.19,15.30
순이익률,11.88,0.53,-1.93,-38.42,-13.06,1.83,6.53,11.49
ROE(%),36.33,1.10,-5.53,-98.75,-31.57,,,
ROA(%),11.98,0.40,-1.87,-26.23,-10.96,,,
부채비율,190.42,163.03,229.68,351.11,124.92,,,
자본유보율,441.91,441.87,411.03,196.06,501.41,,,
EPS(원),785,28,-137,"-1,899",-731,125,527,"1,161"
PER(배),,,,,N/A,133.60,31.70,14.39
BPS(원),"2,555","2,559","2,384","1,471","3,025",,,
PBR(배),0.00,0.00,0.00,0.00,7.16,,,
현금DPS(원),0,0,0,0,,,,
현금배당수익률,,,,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"8,288,920","8,288,920","8,288,920","8,895,545","11,200,076",,,
