주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,,280,325,290,433,549,702,828
영업이익,,35,41,21,91,123,162,194
영업이익(발표기준),,35,41,21,91,,,
세전계속사업이익,,33,-106,8,31,114,151,183
당기순이익,,41,-113,6,15,95,121,146
  당기순이익(지배),,40,-114,12,12,85,106,119
  당기순이익(비지배),,1,1,-6,3,,,
자산총계,,224,590,574,979,"1,109","1,284","1,418"
부채총계,,115,129,81,450,488,548,536
자본총계,,109,461,493,529,621,736,882
  자본총계(지배),,106,454,479,511,587,680,799
  자본총계(비지배),,,7,15,17,,,
자본금,,14,20,22,22,22,22,22
영업활동현금흐름,,38,21,51,70,83,115,159
투자활동현금흐름,,-3,-304,-64,-345,-107,-120,-108
재무활동현금흐름,,6,328,-34,287,23,45,-26
CAPEX,,1,12,22,80,20,30,40
FCF,,37,9,29,-10,80,109,137
이자발생부채,,50,53,33,247,,,
영업이익률,,12.59,12.68,7.13,21.12,22.46,23.08,23.43
순이익률,,14.61,-34.64,2.16,3.52,17.24,17.24,17.63
ROE(%),,,-40.57,2.54,2.50,15.42,16.73,16.09
ROA(%),,,-27.70,1.08,1.96,9.07,10.11,10.81
부채비율,,105.04,27.89,16.44,85.06,78.58,74.46,60.77
자본유보율,,650.66,"2,136.04","2,339.71","2,393.45",,,
EPS(원),,"1,305","-3,106",273,285,"1,945","2,435","2,733"
PER(배),,,N/A,96.01,154.46,15.22,12.16,10.83
BPS(원),,"3,277","10,716","11,791","12,225","14,030","16,253","19,098"
PBR(배),,0.00,2.80,2.22,3.60,2.11,1.82,1.55
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),,0.00,0.00,0.00,,,,
발행주식수(보통주),"2,711,000","2,871,000","4,088,005","4,353,577","4,353,577",,,
