주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,174","1,273","1,046","1,037",959
영업이익,176,201,105,86,49
영업이익(발표기준),176,201,105,86,49
세전계속사업이익,182,209,121,100,97
당기순이익,153,170,107,91,90
  당기순이익(지배),153,170,107,91,90
  당기순이익(비지배),0,0,,,
자산총계,"1,006","1,112","1,092","1,083","1,144"
부채총계,406,360,277,221,214
자본총계,600,752,815,862,930
  자본총계(지배),600,752,815,862,930
  자본총계(비지배),0,,,,
자본금,43,43,43,43,43
영업활동현금흐름,144,274,42,103,-69
투자활동현금흐름,-65,-257,-19,18,59
재무활동현금흐름,-11,-17,-46,-53,-32
CAPEX,4,11,10,9,7
FCF,140,263,32,94,-76
이자발생부채,0,,2,5,2
영업이익률,15.02,15.78,10.04,8.32,5.06
순이익률,13.02,13.39,10.20,8.81,9.42
ROE(%),28.90,25.22,13.61,10.89,10.09
ROA(%),17.73,16.10,9.68,8.40,8.12
부채비율,67.66,47.86,33.92,25.62,22.97
자본유보율,"1,286.74","1,672.26","1,852.01","2,014.14","2,174.86"
EPS(원),"1,772","1,977","1,236","1,059","1,048"
PER(배),5.33,5.46,6.49,7.67,9.11
BPS(원),"6,957","8,719","9,685","10,736","11,584"
PBR(배),1.36,1.24,0.83,0.76,0.82
현금DPS(원),200,300,300,350,350
현금배당수익률,2.12,2.78,3.74,4.31,3.66
현금배당성향(%),11.29,15.18,23.70,30.76,31.08
발행주식수(보통주),"8,625,000","8,625,000","8,625,000","8,625,000","8,625,000"
