주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,155,198,300,394,390
영업이익,41,56,72,43,62
영업이익(발표기준),41,56,72,43,62
세전계속사업이익,43,63,92,34,62
당기순이익,34,48,72,29,50
  당기순이익(지배),34,48,73,29,50
  당기순이익(비지배),,0,0,0,0
자산총계,285,335,678,690,743
부채총계,97,64,123,133,150
자본총계,188,270,555,558,593
  자본총계(지배),188,269,554,557,592
  자본총계(비지배),,,1,1,1
자본금,12,13,40,40,40
영업활동현금흐름,44,51,57,1,83
투자활동현금흐름,-66,-18,-318,23,-26
재무활동현금흐름,-17,-20,243,5,-12
CAPEX,18,10,66,35,3
FCF,25,40,-9,-35,80
이자발생부채,71,24,54,84,80
영업이익률,26.71,28.24,24.03,10.93,15.78
순이익률,21.60,24.28,24.16,7.28,12.80
ROE(%),19.56,,17.63,5.21,8.71
ROA(%),12.24,,14.29,4.19,6.97
부채비율,51.79,23.81,22.17,23.81,25.30
자본유보율,"1,462.92","2,026.26","1,305.46","1,342.72","1,432.14"
EPS(원),559,806,"1,091",365,631
PER(배),,,10.72,29.89,21.73
BPS(원),"3,126","4,273","6,987","7,093","7,545"
PBR(배),0.00,0.00,1.67,1.54,1.82
현금DPS(원),40,40,200,100,100
현금배당수익률,,,1.71,0.92,0.73
현금배당성향(%),7.16,5.21,21.86,27.14,15.69
발행주식수(보통주),"6,000,000","6,300,000","7,929,338","7,929,338","7,929,338"
