주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,263,304,380,439,477,524
영업이익,13,15,43,43,43,50
영업이익(발표기준),13,15,43,43,43,
세전계속사업이익,11,-37,43,43,49,
당기순이익,11,-36,43,49,49,
  당기순이익(지배),11,-35,43,49,49,48
  당기순이익(비지배),,0,0,0,0,
자산총계,236,229,304,525,561,
부채총계,155,188,203,187,187,
자본총계,81,41,101,338,374,
  자본총계(지배),81,41,101,337,374,
  자본총계(비지배),,0,0,0,0,
자본금,14,14,32,41,41,
영업활동현금흐름,20,-11,58,30,54,
투자활동현금흐름,-17,-3,-44,-61,-48,
재무활동현금흐름,2,1,10,190,-51,
CAPEX,2,6,1,18,23,
FCF,18,-18,57,12,31,
이자발생부채,76,89,78,82,52,
영업이익률,4.85,4.81,11.24,9.71,9.09,9.54
순이익률,4.16,-11.68,11.43,11.09,10.35,
ROE(%),14.49,,61.06,22.20,13.88,
ROA(%),4.80,,16.28,11.74,9.10,
부채비율,192.53,457.07,201.45,55.47,49.94,
자본유보율,455.87,182.95,215.27,729.62,834.38,
EPS(원),189,-611,714,686,607,590
PER(배),,,,20.63,18.45,16.87
BPS(원),"1,390",708,"1,578","4,149","4,630",
PBR(배),0.00,0.00,0.00,3.41,2.42,
현금DPS(원),15,0,30,80,110,
현금배당수익률,,,,0.57,0.98,
현금배당성향(%),7.95,0.00,3.69,13.38,18.00,
발행주식수(보통주),"5,800,000","5,800,000","6,380,000","8,131,000","8,131,000",
