주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,736,"1,028","1,472","1,277","1,764","2,032","2,574"
영업이익,88,118,178,206,150,237,331
영업이익(발표기준),88,118,178,206,150,,
세전계속사업이익,84,122,182,202,172,240,335
당기순이익,75,111,159,187,195,216,285
  당기순이익(지배),74,109,157,185,196,217,268
  당기순이익(비지배),2,1,3,2,-2,,
자산총계,963,"1,533","1,775","2,072","3,938","3,009","3,690"
부채총계,413,871,975,"1,020","2,366","1,571","1,967"
자본총계,549,661,799,"1,051","1,572","1,438","1,723"
  자본총계(지배),543,651,785,"1,051","1,231","1,435","1,717"
  자본총계(비지배),6,,14,,341,,
자본금,71,71,71,74,74,74,74
영업활동현금흐름,20,79,-165,604,-136,246,308
투자활동현금흐름,-47,-9,-101,-386,44,-167,-267
재무활동현금흐름,9,106,30,-25,390,-5,-10
CAPEX,27,36,98,117,31,90,110
FCF,-7,43,-262,487,-167,152,192
이자발생부채,0,69,130,62,798,,
영업이익률,11.92,11.43,12.07,16.15,8.48,11.66,12.86
순이익률,10.24,10.77,10.82,14.62,11.03,10.63,11.07
ROE(%),14.63,18.33,21.81,20.17,17.19,16.28,17.00
ROA(%),8.56,8.87,9.63,9.71,6.48,6.22,8.51
부채비율,75.22,131.77,122.03,97.03,150.49,109.25,114.16
자본유보율,660.93,811.20,999.25,"1,318.77","1,559.65",,
EPS(원),515,766,"1,096","1,262","1,324","1,464","1,808"
PER(배),19.42,15.34,9.90,17.00,21.14,19.60,15.87
BPS(원),"3,805","4,556","5,497","7,095","8,310","9,684","11,587"
PBR(배),2.63,2.58,1.97,3.02,3.37,2.96,2.48
현금DPS(원),0,100,0,,,0,0
현금배당수익률,0.00,0.85,0.00,,,0.00,0.00
현금배당성향(%),0.00,13.05,0.00,0.00,,,
발행주식수(보통주),"14,280,000","14,280,000","14,280,000","14,818,910","14,818,910",,
