주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,161,228,299,424,521
영업이익,11,7,35,73,106
영업이익(발표기준),11,7,35,73,106
세전계속사업이익,5,6,34,58,130
당기순이익,5,6,33,46,103
  당기순이익(지배),5,6,33,46,103
  당기순이익(비지배),,,,,
자산총계,209,264,300,465,679
부채총계,118,132,135,256,120
자본총계,91,132,165,210,559
  자본총계(지배),91,132,165,210,559
  자본총계(비지배),,,,,
자본금,25,28,28,30,38
영업활동현금흐름,-8,-33,47,-7,87
투자활동현금흐름,-1,-2,0,-41,-18
재무활동현금흐름,10,33,8,93,94
CAPEX,1,1,0,27,11
FCF,-9,-33,47,-34,76
이자발생부채,79,77,85,179,32
영업이익률,6.73,3.01,11.72,17.24,20.38
순이익률,2.79,2.79,10.96,10.74,19.84
ROE(%),5.67,5.69,22.01,24.29,26.88
ROA(%),2.31,2.69,11.62,11.90,18.07
부채비율,129.93,99.51,81.38,121.96,21.37
자본유보율,265.25,375.51,493.28,584.02,"1,375.52"
EPS(원),107,125,634,837,"1,728"
PER(배),,,,,11.60
BPS(원),"2,176","2,562","3,205","3,679","7,820"
PBR(배),0.00,0.00,0.00,0.00,2.56
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,780,202","3,780,202","3,780,202","5,696,868","7,164,618"
