주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"4,336","3,930","3,581","2,941","2,805"
영업이익,131,56,74,35,18
영업이익(발표기준),131,56,74,35,18
세전계속사업이익,163,155,275,683,550
당기순이익,120,122,217,564,400
  당기순이익(지배),112,118,212,488,330
  당기순이익(비지배),8,4,5,76,70
자산총계,"3,675","3,683","3,972","4,655","5,262"
부채총계,"1,983","1,860","1,927","2,011","2,051"
자본총계,"1,693","1,822","2,045","2,644","3,212"
  자본총계(지배),"1,615","1,717","1,938","2,461","2,960"
  자본총계(비지배),78,,107,183,252
자본금,114,136,136,136,156
영업활동현금흐름,64,178,118,-83,28
투자활동현금흐름,-117,-319,30,-101,18
재무활동현금흐름,61,34,-56,-14,-11
CAPEX,23,81,12,77,24
FCF,41,96,106,-160,5
이자발생부채,"1,323","1,302","1,381","1,394","1,307"
영업이익률,3.02,1.42,2.08,1.20,0.63
순이익률,2.77,3.09,6.07,19.19,14.24
ROE(%),7.48,7.08,11.61,22.19,12.17
ROA(%),3.37,3.31,5.68,13.08,8.06
부채비율,117.11,102.08,94.23,76.05,63.85
자본유보율,"1,263.15","1,208.55","1,364.32","1,765.14","1,845.63"
EPS(원),494,439,780,"1,793","1,101"
PER(배),7.83,5.81,3.62,1.65,2.85
BPS(원),"8,147","7,290","8,225","10,446","10,713"
PBR(배),0.47,0.35,0.34,0.28,0.29
현금DPS(원),15,15,15,15,
현금배당수익률,0.39,0.59,0.53,0.51,
현금배당성향(%),2.65,3.00,1.67,0.72,
발행주식수(보통주),"22,723,235","27,213,580","27,213,580","27,213,580","31,278,618"
